"OA","OAtype","OC","OCtype","aerosol","aerosoltype","month","station","lat","lon","obs_OC","obs_lbnd","obs_ubnd"
620.021184646502,"POA",442.872274747502,"POC",0.620021184646502,"POA",6,"Gulf of Mexico (west)",25,263.75,2820,NA,NA
1972.92054759005,"TOA",1159.31049012865,"TOC",1.97292054759005,"TOC",6,"Gulf of Mexico (west)",25,263.75,2820,NA,NA
125.598464558466,"MOA",69.7769247547034,"MOC",0.125598464558466,"MOA",7,"Gulf of Mexico (west)",25,263.75,2650,NA,NA
1014.68226509285,"SOA",534.043297417291,"SOC",1.01468226509285,"SOA",7,"Gulf of Mexico (west)",25,263.75,2650,NA,NA
145.655060868299,"POA",104.039329191642,"POC",0.145655060868298,"POA",7,"Gulf of Mexico (west)",25,263.75,2650,NA,NA
1285.93579051962,"TOA",707.859551363637,"TOC",1.28593579051962,"TOC",7,"Gulf of Mexico (west)",25,263.75,2650,NA,NA
99.8294364548381,"MOA",55.4607980304656,"MOC",0.0998294364548381,"MOA",8,"Gulf of Mexico (west)",25,263.75,100,NA,NA
950.47060028153,"SOA",500.2476843587,"SOC",0.95047060028153,"SOA",8,"Gulf of Mexico (west)",25,263.75,100,NA,NA
139.773510841815,"POA",99.838222029868,"POC",0.139773510841815,"POA",8,"Gulf of Mexico (west)",25,263.75,100,NA,NA
1190.07354757818,"TOA",655.546704419034,"TOC",1.19007354757818,"TOC",8,"Gulf of Mexico (west)",25,263.75,100,NA,NA
77.6439529286472,"MOA",43.135529404804,"MOC",0.0776439529286472,"MOA",9,"Gulf of Mexico (west)",25,263.75,4080,NA,NA
1347.18078260547,"SOA",709.042517160774,"SOC",1.34718078260547,"SOA",9,"Gulf of Mexico (west)",25,263.75,4080,NA,NA
169.831310574529,"POA",121.308078981806,"POC",0.169831310574529,"POA",9,"Gulf of Mexico (west)",25,263.75,4080,NA,NA
1594.65604610865,"TOA",873.486125547384,"TOC",1.59465604610865,"TOC",9,"Gulf of Mexico (west)",25,263.75,4080,NA,NA
105.011935244367,"MOA",58.3399640246482,"MOC",0.105011935244367,"MOA",10,"Gulf of Mexico (west)",25,263.75,4000,NA,NA
1609.50932882332,"SOA",847.110173064905,"SOC",1.60950932882332,"SOA",10,"Gulf of Mexico (west)",25,263.75,4000,NA,NA
263.780801355927,"POA",188.414858111376,"POC",0.263780801355927,"POA",10,"Gulf of Mexico (west)",25,263.75,4000,NA,NA
1978.30206542361,"TOA",1093.86499520093,"TOC",1.97830206542361,"TOC",10,"Gulf of Mexico (west)",25,263.75,4000,NA,NA
94.6934102868749,"MOA",52.607450159375,"MOC",0.0946934102868749,"MOA",11,"Gulf of Mexico (west)",25,263.75,4450,NA,NA
1330.12890763474,"SOA",700.067846123547,"SOC",1.33012890763474,"SOA",11,"Gulf of Mexico (west)",25,263.75,4450,NA,NA
260.780563790133,"POA",186.271831278667,"POC",0.260780563790133,"POA",11,"Gulf of Mexico (west)",25,263.75,4450,NA,NA
1685.60288171175,"TOA",938.947127561588,"TOC",1.68560288171175,"TOC",11,"Gulf of Mexico (west)",25,263.75,4450,NA,NA
92.5762280842583,"MOA",51.431237824588,"MOC",0.0925762280842583,"MOA",12,"Gulf of Mexico (west)",25,263.75,3580,NA,NA
1462.78223641397,"SOA",769.885387586301,"SOC",1.46278223641397,"SOA",12,"Gulf of Mexico (west)",25,263.75,3580,NA,NA
279.580153769483,"POA",199.700109835345,"POC",0.279580153769483,"POA",12,"Gulf of Mexico (west)",25,263.75,3580,NA,NA
1834.93861826771,"TOA",1021.01673524623,"TOC",1.83493861826771,"TOC",12,"Gulf of Mexico (west)",25,263.75,3580,NA,NA
286.742441919457,"MOA",159.301356621921,"MOC",0.286742441919457,"MOA",6,"southwest of Australia",-41,111.25,480,NA,NA
9.39041487493809,"SOA",4.94232361838847,"SOC",0.00939041487493809,"SOA",6,"southwest of Australia",-41,111.25,480,NA,NA
6.11853787086065,"POA",4.37038419347189,"POC",0.00611853787086065,"POA",6,"southwest of Australia",-41,111.25,480,NA,NA
302.251394665256,"TOA",168.614064433781,"TOC",0.302251394665256,"TOC",6,"southwest of Australia",-41,111.25,480,NA,NA
52.1643878133028,"MOA",28.9802154518349,"MOC",0.0521643878133028,"MOA",7,"Philippines",7,121.25,650,NA,NA
723.328455949162,"SOA",380.699187341664,"SOC",0.723328455949162,"SOA",7,"Philippines",7,121.25,650,NA,NA
379.561340098313,"POA",271.115242927367,"POC",0.379561340098313,"POA",7,"Philippines",7,121.25,650,NA,NA
1155.05418386078,"TOA",680.794645720866,"TOC",1.15505418386078,"TOC",7,"Philippines",7,121.25,650,NA,NA
152.621235708118,"MOA",84.7895753933987,"MOC",0.152621235708118,"MOA",4,"south of South Korea",33,128.75,1770,1240,2300
1602.93510357831,"SOA",843.650054514901,"SOC",1.60293510357831,"SOA",4,"south of South Korea",33,128.75,1770,1240,2300
2114.00773315392,"POA",1510.00552368137,"POC",2.11400773315392,"POA",4,"south of South Korea",33,128.75,1770,1240,2300
3869.56407244035,"TOA",2438.44515358967,"TOC",3.86956407244035,"TOC",4,"south of South Korea",33,128.75,1770,1240,2300
148.624954480384,"MOA",82.5694191557688,"MOC",0.148624954480384,"MOA",6,"New Caledonia",-23,171.25,480,NA,NA
8.56750787988427,"SOA",4.5092146736233,"SOC",0.00856750787988427,"SOA",6,"New Caledonia",-23,171.25,480,NA,NA
9.00946078453442,"POA",6.4353291318103,"POC",0.00900946078453442,"POA",6,"New Caledonia",-23,171.25,480,NA,NA
