"date","site","avg_cl","avg_na","avg_so4","avg_dust","avg_no3","avg_msa","avg_nh4","avg_ncl","avg_nssSO4","total_aerosol","month"
1988-10-01,"Bar_84-01_M_ng",8.066,4.584,1.727,4.324,0.338,0.0137,0.1035,13.7088396746793,0.5736656,18.6065052746793,"OCT"
1988-11-01,"Bar_84-01_M_ng",7.383,4.196,1.581,2.436,0.513,0.0168,0.0745,12.5484928610284,0.5252864,15.5097792610284,"NOV"
1988-12-01,"Bar_84-01_M_ng",8.45,4.844,1.542,0.864,0.265,0.0164,0.0226,14.4863916632082,0.3232496,15.6736412632082,"DEC"
1989-01-01,"Bar_84-01_M_ng",12.697,7.337,2.369,7.616,0.651,0.015,0.0748,21.9419189993721,0.5230108,30.0809297993721,"JAN"
1989-02-01,"Bar_84-01_M_ng",16.797,9.456,2.948,13.644,0.429,0.0165,0.0127,28.2789677058829,0.5688704,42.4918381058829,"FEB"
1989-03-01,"Bar_84-01_M_ng",11.871,6.611,2.203,5.586,0.476,0.016,0.0456,19.7707546006336,0.5396724,25.8964270006336,"MAR"
1989-04-01,"Bar_84-01_M_ng",11.844,6.457,2.402,7.919,0.804,0.02,0.1247,19.3102045766588,0.7774188,28.0066233766588,"APR"
1989-05-01,"Bar_84-01_M_ng",9.957,5.551,2.488,19.806,1.013,0.0338,0.1273,16.6007349550926,1.0913684,37.4981033550926,"MAY"
1989-06-01,"Bar_84-01_M_ng",10.224,5.797,2.611,19.365,0.816,0.0374,0.1194,17.3364187596238,1.1524748,37.8538935596238,"JUN"
1989-07-01,"Bar_84-01_M_ng",9.834,5.818,2.865,22.163,0.644,0.0257,0.1183,17.3992210356204,1.4011912,40.9634122356204,"JUL"
1989-08-01,"Bar_84-01_M_ng",8.956,5.23,2.355,13.264,0.619,0.0221,0.0911,15.6407573077165,1.039132,29.9438893077165,"AUG"
1989-09-01,"Bar_84-01_M_ng",9.864,5.701,2.413,12.67,0.564,0.0185,0.1269,17.0493226407824,0.9786284,30.6979510407824,"SEP"
1989-10-01,"Bar_84-01_M_ng",7.146,4.152,1.952,9.87,0.604,0.0184,0.1848,12.4169071398927,0.9073568,23.1942639398927,"OCT"
1989-11-01,"Bar_84-01_M_ng",9.907,5.702,2.028,2.605,0.455,0.0215,0.0323,17.0523132253537,0.5933768,20.2506900253536,"NOV"
1989-12-01,"Bar_84-01_M_ng",11.081,6.302,2.073,1.345,0.469,0.0261,0.0357,18.8466639681127,0.4874168,20.6790807681127,"DEC"
1990-01-01,"Bar_84-01_M_ng",15.634,8.785,2.646,2.339,0.338,0.0157,0.0178,26.272285458564,0.435694,29.046979458564,"JAN"
1990-02-01,"Bar_84-01_M_ng",10.117,5.88,2.093,7.834,0.554,0.0172,0.0512,17.5846372790388,0.613592,26.0322292790388,"FEB"
1990-03-01,"Bar_84-01_M_ng",8.565,4.884,2.212,12.932,0.582,0.0191,0.0926,14.6060150460588,0.9831856,28.5212006460588,"MAR"
1990-04-01,"Bar_84-01_M_ng",8.25,4.718,2.127,9.267,0.731,0.0188,0.1163,14.1095780072288,0.9399512,24.3165292072288,"APR"
1990-05-01,"Bar_84-01_M_ng",9.431,5.45,2.592,13.478,0.803,0.0279,0.2627,16.2986859133948,1.22078,30.9974659133948,"MAY"
1990-06-01,"Bar_84-01_M_ng",12.388,7.001,2.763,21.356,0.708,0.0247,0.111,20.937082583427,1.0015484,43.294630983427,"JUN"
1990-07-01,"Bar_84-01_M_ng",9.134,5.261,2.438,15.383,0.555,0.0223,0.1183,15.7334654294257,1.1143324,32.2307978294257,"JUL"
