month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
NOV,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,2.87422195097e-10,0
DEC,Gulf of Mexico (west),"Cheju, Korea (NASA PEM-West)",10.0,297.047,0,0,0,0,0,0,2.87822548937e-10,0
JAN,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,2.73804631843e-10,0
FEB,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,2.95339751996e-10,0
MAR,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,2.90127018216e-10,0
APR,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,2.29485354581e-10,0
MAY,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,1.69759116076e-10,0
JUN,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,1.74605181042e-10,0
JUL,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,1.82516974569e-10,0
AUG,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,1.67621272736e-10,0
SEP,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,1.72209941776e-10,0
OCT,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,2.07297637905e-10,0
NOV,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,2.94516888634e-10,0
DEC,Reunion1990-1996,WA0023,13.0,237.181,0,0,0,0,0,0,3.01622023884e-10,0
JAN,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,2.02662185502e-10,0
FEB,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.83833944308e-10,0
MAR,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.02696299056e-10,0
APR,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.17102451083e-10,0
MAY,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,2.98136813975e-10,0
JUN,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.18430070964e-10,0
JUL,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,4.29011790876e-10,0
AUG,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.92993708647e-10,0
SEP,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.89539124625e-10,0
OCT,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.54592015097e-10,0
NOV,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.11857053848e-10,0
DEC,MarionIs1992-1996,CA0090,-19.9356,241.573,0,0,0,0,0,0,3.34248034789e-10,0
JAN,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,4.40221241647e-10,0
FEB,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,3.95199640088e-10,0
MAR,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,4.15312151675e-10,0
APR,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,3.60993768791e-10,0
MAY,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,3.12188031498e-10,0
JUN,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,3.65281830851e-10,0
JUL,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,3.27856967371e-10,0
AUG,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,2.85482149054e-10,0
SEP,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,4.05853900479e-10,0
OCT,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,3.79313689745e-10,0
NOV,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,3.49606283763e-10,0
DEC,CA0090,ML033,37.015,174.06,0,0,0,0,0,0,2.64068922876e-10,0
JAN,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.18138740813e-10,0
FEB,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.5315269896e-10,0
MAR,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.86891367112e-10,0
APR,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.56299100566e-10,0
MAY,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.37350832812e-10,0
JUN,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.21180514903e-10,0
JUL,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.12919100079e-10,0
AUG,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.15606705767e-10,0
SEP,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,1.744275504e-10,0
OCT,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.34718672093e-10,0
NOV,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.99528594935e-10,0
DEC,ML033,CA0092,21.0,237.089,0,0,0,0,0,0,2.19692310911e-10,0
JAN,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,2.04740862266e-10,0
FEB,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,1.81249057258e-10,0
MAR,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,1.22140367367e-10,0
APR,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,2.36519580479e-10,0
MAY,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,3.13051241897e-10,0
JUN,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,3.01130813849e-10,0
JUL,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,3.90492921203e-10,0
AUG,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,3.57881953267e-10,0
SEP,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,3.40363314615e-10,0
OCT,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,2.89946009378e-10,0
NOV,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,2.10781105468e-10,0
DEC,CA0092,WACS-I - Sargasso Sea,3.92,241.896,0,0,0,0,0,0,1.9804097435e-10,0
JAN,VX0079,ML039,36.927,236.258,0,0,0,0,0,0,2.54647986801e-10,0
