"month","num_a1","mom_a1","ncl_a1","pom_a1","soa_a1","so4_a1","dst_a1","bc_a1","wat_a1","num_a2","mom_a2","ncl_a2","soa_a2","so4_a2","wat_a2","num_a3","mom_a3","ncl_a3","pom_a3","soa_a3","so4_a3","dst_a3","bc_a3","wat_a3","num_a4","mom_a4","pom_a4","bc_a4","wat_a4","num_c1","mom_c1","ncl_c1","pom_c1","soa_c1","so4_c1","dst_c1","bc_c1","num_c2","mom_c2","ncl_c2","soa_c2","so4_c2","num_c3","mom_c3","ncl_c3","pom_c3","soa_c3","so4_c3","dst_c3","bc_c3","num_c4","mom_c4","pom_c4","bc_c4","site","site.long.name","lat","lon","moist.density","MOA","SOA","POA","SO4","BC","NCL","smSS","DST","total.aerosol","total.aerosol.no.moa"
"MAR",23137500,1.23163686280986e-12,8.16332210162862e-11,6.26986613669334e-12,6.40535801482711e-12,1.0400831584878e-10,9.07606802214023e-12,1.44484511160892e-12,7.14541981139405e-10,124249944,1.47100772995888e-14,1.12978810334896e-12,7.48187156760644e-13,8.28771426486519e-12,1.89386700766292e-11,93536.546875,2.52578855183469e-13,2.42798581240322e-09,9.56349799699496e-13,1.22949838244485e-12,1.71152935574126e-11,1.82270892823411e-10,2.2675646625149e-13,1.33866855378528e-08,7169959,7.81184076539159e-16,9.34242353617387e-12,2.16579727242705e-12,2.07194899749802e-16,357078.65625,2.07558918511631e-14,2.3555922837315e-12,3.77856823792228e-14,8.46477429166173e-14,1.39343332879183e-12,1.81225409570489e-14,1.22834498784497e-14,193018.078125,1.1934502320911e-16,1.76067537963455e-14,1.87589930432863e-15,9.31262377867718e-14,2574.16845703125,4.04962089862603e-15,4.51900530884508e-11,6.02398312439176e-15,1.11293674878157e-14,1.51974773369111e-13,2.1228331592571e-13,1.76494561153484e-15,9.32413240661845e-05,8.78265272622877e-24,5.63195613579532e-20,1.59785509574588e-20,"ICE0076","ICE0076",78.979,10.527,1.32372997386612,0.00201820086194766,0.0112261522406879,0.021990396937942,0.173474625120068,0.005098276183151,3.38651437439255,0.112697350598942,0.253596702618353,3.84269257611401,3.84067437525207
"APR",28447122,3.51852336329117e-12,8.25905802082083e-11,1.09931031291866e-11,6.32657684920823e-12,1.12582818068141e-10,2.26077039033878e-11,1.58353863875804e-12,7.33204885694505e-10,172998048,4.9995045673908e-14,1.1216583217788e-12,1.05826545443444e-12,1.12607709615298e-11,2.30210104451567e-11,100725.125,9.39465952948249e-13,2.31527352845262e-09,2.63991671405062e-12,1.94151964470757e-12,2.63069444700337e-11,3.99192845446095e-10,4.06737821591688e-13,1.2443426733455e-08,7146852,1.3896122894749e-15,9.7745249394432e-12,1.19770794844432e-12,4.30802306932297e-16,959337.625,1.90409997881738e-13,4.59049031426018e-12,3.45969401131102e-13,4.43772433080317e-13,6.34266901153313e-12,3.40093269301719e-13,7.14914306682198e-14,228804.6875,7.416331965561e-16,2.14667828868711e-14,6.61233390362049e-15,2.60123601261361e-13,5767.19384765625,5.2969794891479e-14,8.68757010774601e-11,8.92272096052887e-14,1.12660552273932e-13,1.02670541339556e-12,3.08925302873464e-12,1.79056022667299e-14,0.000286270515061915,1.8714465323275e-22,1.6991177708528e-19,1.90001464154741e-20,"ICE0076","ICE0076",78.979,10.527,1.31623717573283,0.00625672736062845,0.0130168054915882,0.0313827028170432,0.207675943082679,0.00431381131766925,3.27805370736659,0.116255589801133,0.559703396884254,4.08738628882886,4.08112956146824
"MAY",51710464,1.65140262575747e-10,1.10657615015608e-10,1.69538272309921e-11,1.5472767164737e-11,1.26202340244852e-10,1.10082229790032e-11,1.62438053459557e-12,1.26184340754065e-09,228164096,2.28752845658764e-12,1.56500821416744e-12,1.67219666932783e-12,1.37264774199841e-11,3.93343933813295e-11,135174.828125,1.2494070882052e-11,2.3983957042617e-09,5.66663252779542e-12,5.91756461540416e-12,3.4293564515897e-11,2.82372403237474e-10,6.32205713561179e-13,1.58431632257816e-08,5596918,3.43261118314342e-15,7.82455784192893e-12,6.59384276780611e-13,1.69469079306544e-15,4915533,2.6620424614654e-11,1.71540108506729e-11,1.02558673359399e-12,2.36798319667997e-12,2.40436264647981e-11,5.14058955992935e-13,1.57745615615018e-13,555150.5,1.30385163928624e-13,8.57449758439634e-14,3.15573982960851e-14,9.31421714929492e-13,22822.12890625,7.15031820645168e-13,3.09012593291413e-10,3.60657630062849e-13,7.57028283376177e-13,3.15632676245459e-12,1.84194048902242e-11,6.62694115620248e-14,0.00318612321279943,4.43155268099001e-21,1.40833961635689e-18,2.67927651965653e-19,"ICE0076","ICE0076",78.979,10.527,1.29561003175133,0.268698036465335,0.0339697255213897,0.0412409041490056,0.262171557691022,0.00406819712800342,3.67547810739634,0.167732757039726,0.404637268142516,4.65629407097222,4.38759603450688
"JUN",86596992,5.49603251798203e-10,1.90899476781858e-10,1.06249878686904e-11,3.71464387027842e-11,2.19663912059964e-10,5.52339033885185e-12,1.24039981844876e-12,2.75763922807926e-09,295314176,5.79048918189495e-12,2.01831867191471e-12,3.08381922428658e-12,1.81841538354766e-11,6.51876816415431e-11,234165.609375,2.93318390409691e-11,3.05981995296634e-09,6.10810620832458e-12,1.5628739621909e-11,5.04634285747319e-11,1.80252868187125e-10,7.10677339459814e-13,2.43094735452587e-08,1401905.125,1.29470680053714e-15,1.85584924164428e-12,2.73822441500607e-13,7.67556216390344e-16,13157408,1.245831215968e-10,4.10372014147953e-11,1.30477074457291e-12,6.31752896523841e-12,7.29670837640306e-11,6.159898437684e-13,2.33143284409168e-13,898613.625,3.63152487681956e-13,1.18859335893583e-13,7.8712284899609e-14,1.89030388564326e-12,56341.30078125,4.49785564696215e-12,6.63929133892793e-10,8.15215408199454e-13,2.91771706621702e-12,7.90291790342401e-12,2.87391343362087e-11,1.3968947526477e-13,0.00463731773197651,7.22110095506753e-21,1.52020100835123e-18,4.34397569296191e-19,"ICE0076","ICE0076",78.979,10.527,1.2738304602189,0.9097327792946,0.0830192963637658,0.0263796670957129,0.472682561797899,0.00330907115984524,5.04159542102763,0.298170407974143,0.274040908239854,6.72774040861554,5.81800762932094
"JUL",83389912,5.47928702410161e-10,2.54980758729317e-10,8.33632034930032e-12,5.5014978683765e-11,1.63573848910303e-10,2.09847807533525e-12,9.76628825553882e-13,3.30297700301685e-09,211261696,6.25325399100651e-12,2.86436195942597e-12,2.80750639750083e-12,1.27850993680845e-11,6.36862021452522e-11,320638.65625,3.05506071829331e-11,4.03388566994067e-09,5.93309819676979e-12,2.29737496387772e-11,3.9581241062514e-11,9.1176344252375e-11,6.24204735209105e-13,3.41943895421082e-08,1037814.875,8.57645475990009e-16,1.38501439050226e-12,1.76565698368526e-13,5.37832199007268e-16,14333894,1.2926046344397e-10,5.94682844634598e-11,1.74758937789704e-12,1.1752797519915e-11,4.86031215274352e-11,4.02468016596005e-13,2.06107632588597e-13,1079048.875,4.16425737208986e-13,1.97310809184337e-13,1.2166537308872e-13,1.31852807751937e-12,83696.984375,4.36265997286189e-12,9.81773662367402e-10,1.07635005509171e-12,4.31394937133733e-12,7.02871701813157e-12,2.28432602694673e-11,1.27213980994322e-13,0.00165544520132244,1.98142048254289e-21,5.33940070620516e-19,1.5440170116021e-19,"ICE0076","ICE0076",78.979,10.527,1.25326144784454,0.900810453536978,0.121547119098341,0.0231582323788533,0.34200321327053,0.00264528529043948,6.68385641629534,0.397923939591926,0.146030713965861,8.098504314738,7.19769386120102
"AUG",50613616,1.26316734849752e-10,2.69656796891837e-10,1.76200443124941e-11,8.9712855200208e-11,1.0288660201585e-10,1.85362424194591e-12,1.79342857838799e-12,2.93256285921473e-09,108535144,1.06052211283625e-12,2.1617809538993e-12,1.53421134303777e-12,6.83025597886244e-12,3.86083942593984e-11,323670,9.28386967996575e-12,3.51732887260425e-09,1.16948039793896e-11,3.4107557056462e-11,5.45687002528883e-11,7.6105316493269e-11,1.41887695169485e-12,3.14689323488437e-08,5277776.5,2.71181579118316e-15,7.453372988242e-12,3.94998324413504e-13,1.24026259318207e-15,7542555.5,2.30187362226797e-11,5.11091446941947e-11,3.40862212587500e-12,1.95984079659484e-11,2.95001453820554e-11,4.75183531845752e-13,4.29480480042613e-13,817137.125,7.99194491509815e-14,1.7448262073453e-13,6.15851838384369e-14,7.25188518176795e-13,67751.5703125,1.12997361034067e-12,6.60559440479602e-10,2.5160865144841e-12,7.34574553962197e-12,1.360313250931e-11,2.12852929726282e-11,3.99854818309772e-13,0.000791730708442628,4.11125475668271e-22,4.25500052736052e-19,3.8740774575548e-20,"ICE0076","ICE0076",78.979,10.527,1.25450560695108,0.201840502897189,0.191136928768794,0.0535585204962099,0.261080210817541,0.00556578874186793,5.6465178419714,0.405333527992313,0.125098568049084,6.29366143297329,6.0918209300761
"SEP",30053640,3.2211816547445e-11,1.38007216765601e-10,1.07627448620029e-11,2.30242352960985e-11,8.00312385806912e-11,1.42091351705564e-12,1.31607441958281e-12,1.75635439525479e-09,78630624,3.24921242255555e-13,1.38584066097791e-12,7.77025037194956e-13,5.70096183802327e-12,2.90853088141807e-11,164052.8125,4.49554586265388e-12,2.58937382646707e-09,4.26635506436956e-12,7.99442456678179e-12,2.77179841579045e-11,7.90002091521913e-11,5.62201598209439e-13,2.49109053385155e-08,12942569,1.04194691747219e-14,1.8407471727433e-11,9.2562969008364e-13,3.66843870818617e-15,4494511.5,6.97823222817195e-12,2.8683326547263e-11,1.44791166903357e-12,5.70252525755599e-12,2.23030864610063e-11,3.16727031971289e-13,3.1725227371375e-13,660632.875,2.63743698105182e-14,1.09852299240605e-13,3.45611397573747e-14,6.83078593688435e-13,36428.203125,4.61204316924702e-13,4.45562142736833e-10,5.63460844822672e-13,1.54535000247702e-12,5.03462462692061e-12,2.00969085123459e-11,1.19852681924014e-13,0.00400762446224689,1.48434975983227e-21,1.799227433734e-18,1.31516198550282e-19,"ICE0076","ICE0076",78.979,10.527,1.2687359595082,0.0564695522641853,0.0495798177231627,0.0449740837388957,0.17948931226808,0.00411198694080862,4.06391632478785,0.213383925854002,0.127932683713863,4.47689394371368,4.4204243914495
"OCT",20629618,1.95597912866496e-11,1.25015442442589e-10,6.39029844665129e-12,6.6982912272362e-12,4.83632647818588e-11,2.97443319974278e-12,7.03438609445106e-13,1.119188075549e-09,62423316,2.02799731760343e-13,1.37144223928687e-12,4.68084555491077e-13,4.03993678788073e-12,1.78076390439097e-11,143527.734375,3.49277659746072e-12,2.9681064273035e-09,1.7819558762594e-12,2.19278371502152e-12,1.52827923927124e-11,5.01213480441631e-11,2.2032276990238e-13,2.03115089192352e-08,11600153,1.17789545139662e-14,1.60973179230695e-11,1.51154241033458e-12,3.65070226178714e-15,1853920,2.59644584478524e-12,1.58145632006557e-11,2.3830956197117e-13,7.35046301169467e-13,8.07350627324288e-12,5.91556019663778e-14,7.24842549263555e-14,416308.90625,1.09349395451029e-14,7.14999145502195e-14,9.56366266019991e-15,3.49547485140739e-13,18598.158203125,2.9281481753185e-13,2.79733264330062e-10,6.56418482395359e-14,1.74004731521953e-13,1.41528770040283e-12,8.67380332055662e-13,1.73927272052992e-14,0.00353614031337202,1.60294021683432e-21,1.52885352435369e-18,2.10981578841873e-19,"ICE0076","ICE0076",78.979,10.527,1.28458912457712,0.0336142831756157,0.0132027169533162,0.03156688320523,0.0995869181721916,0.0032438200280878,4.35490182770404,0.182762281461659,0.069396481131222,4.59231021341638,4.55869593024077
"NOV",22488902,1.33042379196757e-11,1.23456966871771e-10,9.4476900261431e-12,1.13580152227843e-11,8.55003498556606e-11,8.88667438248003e-12,2.13951014023384e-12,1.15682807777517e-09,61371532,1.33635615594263e-13,1.35613688247854e-12,4.02404048667829e-13,4.03360331246994e-12,1.57005745210492e-11,147567.984375,2.44313987443623e-12,3.01156344306719e-09,1.8129666604777e-12,2.54490330718615e-12,2.00636191688419e-11,6.3937730110375e-11,4.12801303556476e-13,1.92961131517677e-08,15391717,1.44266973448872e-14,2.06383434647739e-11,2.93945076612623e-12,2.98664113663398e-15,2570293.5,2.25908115998597e-12,1.87016322567013e-11,1.11321986785012e-12,2.27172100575324e-12,1.58707682412773e-11,9.72794869831539e-13,3.91644616043463e-13,368641.90625,8.20857765711658e-15,7.75484006437094e-14,6.60033525840616e-15,3.69126550072568e-13,24018.822265625,2.17711645152802e-13,3.42961242738582e-10,1.30548634511181e-13,2.70322555572661e-13,1.73392908104503e-12,6.00557147414915e-12,4.24739419796396e-14,0.00184120645280927,6.67955968188358e-22,7.3777913874345e-19,1.39227046973531e-19,"ICE0076","ICE0076",78.979,10.527,1.30638403056618,0.0240119152379647,0.0220177526549286,0.043297184661839,0.166657234764948,0.00774147618415958,4.56988414694451,0.187586667267824,0.104253065416174,4.9158450232096,4.89183310797163
"DEC",18478158,6.67357748923569e-12,1.35655695010506e-10,3.92262698017953e-12,4.45647121635750e-12,6.31822025254358e-11,5.55957623687986e-12,9.21212108331848e-13,1.08636732942813e-09,65545884,8.80093795150444e-14,1.86719086373022e-12,4.20053748728666e-13,3.38728958076961e-12,1.66219503439091e-11,153846.765625,1.16488004138493e-12,3.60939345078748e-09,6.89142536439147e-13,1.13265191496736e-12,1.24265988124539e-11,5.57792180500005e-11,1.84928691825993e-13,2.23208420635501e-08,10782199,3.97406344214857e-15,1.40589198269203e-11,2.985654692228e-12,1.10550970979016e-15,595511.6875,3.24960165113547e-13,6.18217413025923e-12,3.27980610064556e-14,1.29466207719753e-13,1.65971934546622e-12,4.25554570423516e-14,1.40419580395854e-14,244724.4375,2.77086965771631e-15,5.37590568035987e-14,2.60433408644017e-15,8.9960963754309e-14,7125.4365234375,3.58550638994686e-14,1.11688547299593e-10,8.86445051476864e-15,4.09474361427568e-14,2.38958267236022e-13,1.04876929352387e-13,4.4586776728106e-15,0.00340412673540413,4.24921327614266e-22,1.22065037081465e-18,2.78395234876599e-19,"ICE0076","ICE0076",78.979,10.527,1.31498769361508,0.010906543531076,0.00812951015780372,0.0246065140131398,0.106493922656824,0.00540498919164922,5.08221811233138,0.189041077914246,0.0808536314021844,5.31048371312625,5.29957716959517
