,model,OA,OA type,OC,OC type,aerosol,aerosol type,month,lat,lon
200,GLOMAP,1.5486330986,TOA,0.815070051896,TOC,1.5486330986,TOA,12,7.0,121.25
201,GLOMAP,0.0460663028061,MOA,0.0242454225295,MOC,0.0460663028061,MOA,12,7.0,121.25
202,GLOMAP,1.43973731995,TOA,0.757756484182,TOC,1.43973731995,TOA,12,7.0,121.25
203,GLOMAP,0.0452261343598,MOA,0.0238032286104,MOC,0.0452261343598,MOA,12,7.0,121.25
204,GLOMAP,2.48129701614,TOA,1.30594579797,TOC,2.48129701614,TOA,12,7.0,121.25
205,GLOMAP,0.111166320741,MOA,0.0585085898638,MOC,0.111166320741,MOA,12,7.0,121.25
206,GLOMAP,6.00266170502,TOA,3.15929563422,TOC,6.00266170502,TOA,12,7.0,121.25
207,GLOMAP,0.0979351252317,MOA,0.0515448027535,MOC,0.0979351252317,MOA,12,7.0,121.25
208,GLOMAP,4.45425701141,TOA,2.34434579548,TOC,4.45425701141,TOA,12,7.0,121.25
209,GLOMAP,0.0460714064538,MOA,0.0242481086599,MOC,0.0460714064538,MOA,12,7.0,121.25
210,GLOMAP,1.48269176483,TOA,0.780364086753,TOC,1.48269176483,TOA,12,7.0,121.25
211,GLOMAP,0.0366719737649,MOA,0.0193010388236,MOC,0.0366719737649,MOA,12,7.0,121.25
212,GLOMAP,0.797615230083,TOA,0.419797489518,TOC,0.797615230083,TOA,12,7.0,121.25
213,GLOMAP,0.0604770407081,MOA,0.0318300214253,MOC,0.0604770407081,MOA,12,7.0,121.25
214,GLOMAP,1.12933540344,TOA,0.594387054443,TOC,1.12933540344,TOA,12,7.0,121.25
215,GLOMAP,0.135965391994,MOA,0.0715607326282,MOC,0.135965391994,MOA,12,7.0,121.25
216,GLOMAP,1.3585447073,TOA,0.715023530157,TOC,1.3585447073,TOA,12,33.0,128.75
217,GLOMAP,0.13281019032,MOA,0.0699001001684,MOC,0.13281019032,MOA,12,33.0,128.75
218,GLOMAP,1.67591261864,TOA,0.882059272967,TOC,1.67591261864,TOA,12,33.0,128.75
219,GLOMAP,0.183871865273,MOA,0.0967746659329,MOC,0.183871865273,MOA,12,33.0,128.75
220,GLOMAP,1.66751241684,TOA,0.877638114126,TOC,1.66751241684,TOA,12,33.0,128.75
221,GLOMAP,0.120405450463,MOA,0.0633712897175,MOC,0.120405450463,MOA,12,33.0,128.75
222,GLOMAP,2.04902362823,TOA,1.07843348854,TOC,2.04902362823,TOA,12,33.0,128.75
223,GLOMAP,0.192514613271,MOA,0.101323480669,MOC,0.192514613271,MOA,12,33.0,128.75
224,GLOMAP,2.30631613731,TOA,1.21385059859,TOC,2.30631613731,TOA,12,33.0,128.75
225,GLOMAP,0.110582068563,MOA,0.0582010887171,MOC,0.110582068563,MOA,12,33.0,128.75
226,GLOMAP,3.44819664955,TOA,1.81484034187,TOC,3.44819664955,TOA,12,33.0,128.75
227,GLOMAP,0.107322320342,MOA,0.056485431759,MOC,0.107322320342,MOA,12,33.0,128.75
228,GLOMAP,2.64813232422,TOA,1.39375385485,TOC,2.64813232422,TOA,12,33.0,128.75
229,GLOMAP,0.242460250854,MOA,0.127610658344,MOC,0.242460250854,MOA,12,33.0,128.75
230,GLOMAP,2.43687772751,TOA,1.282567225,TOC,2.43687772751,TOA,12,33.0,128.75
231,GLOMAP,0.191612929106,MOA,0.100848910056,MOC,0.191612929106,MOA,12,33.0,128.75
232,GLOMAP,3.28038692474,TOA,1.72651943408,TOC,3.28038692474,TOA,12,33.0,128.75
233,GLOMAP,0.141564920545,MOA,0.0745078529182,MOC,0.141564920545,MOA,12,33.0,128.75
234,GLOMAP,2.42812156677,TOA,1.27795871935,TOC,2.42812156677,TOA,12,33.0,128.75
235,GLOMAP,0.156570494175,MOA,0.08240552325,MOC,0.156570494175,MOA,12,33.0,128.75
236,GLOMAP,1.52482068539,TOA,0.802537202835,TOC,1.52482068539,TOA,12,33.0,128.75
237,GLOMAP,0.215509280562,MOA,0.113425937138,MOC,0.215509280562,MOA,12,33.0,128.75
238,GLOMAP,1.38252091408,TOA,0.727642586357,TOC,1.38252091408,TOA,12,33.0,128.75
239,GLOMAP,0.164391085505,MOA,0.0865216239503,MOC,0.164391085505,MOA,12,33.0,128.75
240,GLOMAP,0.192692518234,TOA,0.10141711486,TOC,0.192692518234,TOA,12,37.0,158.75
241,GLOMAP,0.0787247568369,MOA,0.0414340825457,MOC,0.0787247568369,MOA,12,37.0,158.75
242,GLOMAP,0.169840276241,TOA,0.0893896190744,TOC,0.169840276241,TOA,12,37.0,158.75
243,GLOMAP,0.0654725804925,MOA,0.0344592528908,MOC,0.0654725804925,MOA,12,37.0,158.75
244,GLOMAP,0.253727257252,TOA,0.133540661711,TOC,0.253727257252,TOA,12,37.0,158.75
245,GLOMAP,0.099223613739,MOA,0.0522229545995,MOC,0.099223613739,MOA,12,37.0,158.75
246,GLOMAP,0.209855094552,TOA,0.110450049764,TOC,0.209855094552,TOA,12,37.0,158.75
247,GLOMAP,0.133207604289,MOA,0.0701092654153,MOC,0.133207604289,MOA,12,37.0,158.75
248,GLOMAP,0.27893871069,TOA,0.146809847731,TOC,0.27893871069,TOA,12,37.0,158.75
249,GLOMAP,0.14483833313,MOA,0.0762307016473,MOC,0.14483833313,MOA,12,37.0,158.75
250,GLOMAP,0.383000016212,TOA,0.201578955901,TOC,0.383000016212,TOA,12,37.0,158.75
251,GLOMAP,0.169308125973,MOA,0.0891095399857,MOC,0.169308125973,MOA,12,37.0,158.75
252,GLOMAP,0.267955929041,TOA,0.141029436337,TOC,0.267955929041,TOA,12,37.0,158.75
253,GLOMAP,0.153746172786,MOA,0.0809190383083,MOC,0.153746172786,MOA,12,37.0,158.75
254,GLOMAP,0.258333325386,TOA,0.135964908098,TOC,0.258333325386,TOA,12,37.0,158.75
255,GLOMAP,0.134480759501,MOA,0.070779347106,MOC,0.134480759501,MOA,12,37.0,158.75
256,GLOMAP,0.112487986684,TOA,0.0592042035178,TOC,0.112487986684,TOA,12,37.0,158.75
257,GLOMAP,0.0977259501815,MOA,0.0514347106218,MOC,0.0977259501815,MOA,12,37.0,158.75
258,GLOMAP,0.218047216535,TOA,0.114761692913,TOC,0.218047216535,TOA,12,37.0,158.75
259,GLOMAP,0.117581471801,MOA,0.0618849851583,MOC,0.117581471801,MOA,12,37.0,158.75
260,GLOMAP,0.348787307739,TOA,0.183572267231,TOC,0.348787307739,TOA,12,37.0,158.75
