month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
JUL,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.0996029004455,0.114527106285,0.00226049032062,0.0229144375771,11.8358335495,0.149696752429,0.124475628138,12.1135644913
AUG,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.077754124999,0.0885178893805,0.00194270093925,0.0309686921537,12.7687234879,0.259679347277,0.143913432956,13.061003685
SEP,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.0947422087193,0.165974408388,0.00356653495692,0.0780886337161,8.34618186951,0.278222739697,0.0892988815904,8.94484615326
OCT,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.0939820334315,0.147208303213,0.00381585257128,0.127477839589,6.08883857727,0.224649846554,0.0780958235264,6.44899368286
NOV,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.0921588093042,0.13207103312,0.00440853834152,0.203504949808,5.57679367065,0.195127889514,0.0708739310503,6.02086400986
DEC,MarionIs1992-1996,"Hedo, Okinawa, Japan",-40.68,200.67,0.162153691053,0.274475693703,0.00582901202142,0.538493871689,8.15530395508,0.295434087515,0.125110626221,9.17760181427
JAN,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.143211394548,0.31411421299,0.00976712629199,0.496332228184,14.0691452026,0.0784013941884,0.188285142183,15.0792589188
FEB,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.161125972867,0.350138425827,0.010025234893,0.280978620052,10.1566543579,0.258662760258,0.131376236677,11.2977495193
MAR,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.152022719383,0.382592082024,0.016287593171,0.409580737352,8.97297668457,0.503161549568,0.121347844601,10.4565658569
APR,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.141006305814,0.256763666868,0.0158632025123,0.468292742968,9.17375850677,0.460903048515,0.126404508948,10.1602268219
MAY,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.124104641378,0.180358484387,0.0132117401809,0.567981541157,8.39432430267,0.311248540878,0.116379469633,8.96131896973
JUN,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.188218832016,0.315607964993,0.008763987571,0.829249382019,9.3375749588,0.18467694521,0.125733375549,10.9708185196
JUL,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.142244189978,0.210837155581,0.00283663114533,0.612435996532,7.08289718628,0.035759344697,0.0964722186327,7.9663772583
AUG,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.164305597544,0.22975641489,0.00217394717038,0.564907491207,7.34623670578,0.0185809601098,0.104575164616,8.36594009399
SEP,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.0916914045811,0.123492836952,0.00300465268083,0.400831192732,4.91564416885,0.0510877221823,0.0638987720013,5.36879634857
OCT,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.134389698505,0.209900528193,0.00244632340036,0.231569781899,4.98306560516,0.0321265012026,0.064681455493,5.66538143158
NOV,Ice_91-97_M_NG,"Oahu, Hawaii: North Pacific",13.0,174.06,0.169174134731,0.268944382668,0.00602489942685,0.242890030146,9.15582180023,0.303214073181,0.11356561631,9.99643993378
