
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	_NA	_V	_AL	_BE7	_PB210
	7-23-1986	7-31-1986	25.24 	0.032 	3.770 	15.11 	-0.033 	15.8 	#N/A	2.85 	0.573 	#N/A
	7-31-1986	8-6-1986	23.83 	0.087 	3.673 	14.13 	0.117 	13.4 	#N/A	2.17 	1.206 	#N/A
	8-6-1986	8-14-1986	21.84 	0.037 	3.596 	13.01 	0.321 	15.3 	0.103 	5.66 	0.585 	#N/A
	8-14-1986	9-3-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-3-1986	9-12-1986	38.41 	0.017 	5.845 	22.07 	0.291 	25.6 	0.577 	12.96 	0.835 	#N/A
	9-12-1986	9-17-1986	31.99 	0.029 	4.639 	18.54 	-0.029 	21.9 	#N/A	1.01 	#N/A	#N/A
	9-17-1986	9-24-1986	50.91 	0.033 	8.343 	27.94 	1.311 	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1986	10-1-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-1-1986	10-9-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-9-1986	10-15-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-15-1986	11-19-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-19-1986	11-26-1986	24.93 	0.046 	3.480 	13.61 	0.055 	#N/A	#N/A	#N/A	1.414 	#N/A
	11-26-1986	12-3-1986	50.43 	0.025 	7.346 	26.25 	0.740 	#N/A	#N/A	#N/A	13.055 	#N/A
	12-3-1986	12-11-1986	41.84 	0.049 	5.142 	22.91 	-0.623 	#N/A	#N/A	#N/A	2.242 	#N/A
	12-11-1986	12-17-1986	33.21 	0.089 	4.749 	18.48 	0.097 	#N/A	#N/A	#N/A	7.229 	#N/A
	12-17-1986	1-7-1987	30.70 	0.115 	4.962 	17.33 	0.598 	#N/A	#N/A	#N/A	2.392 	#N/A
	1-7-1987	1-14-1987	29.92 	0.108 	4.494 	16.19 	0.420 	#N/A	#N/A	#N/A	0.227 	#N/A
	1-14-1987	1-21-1987	32.82 	0.198 	4.816 	17.78 	0.341 	#N/A	#N/A	#N/A	5.259 	#N/A
	1-21-1987	1-28-1987	46.62 	0.126 	6.718 	25.44 	0.316 	#N/A	#N/A	#N/A	3.322 	#N/A
	1-28-1987	2-4-1987	32.65 	0.135 	4.909 	17.36 	0.539 	#N/A	#N/A	#N/A	0.285 	#N/A
	2-4-1987	2-19-1987	30.40 	0.136 	4.371 	16.35 	0.256 	#N/A	#N/A	#N/A	2.948 	#N/A
	2-19-1987	2-25-1987	27.89 	0.178 	4.195 	15.01 	0.416 	#N/A	#N/A	#N/A	3.557 	#N/A
	2-25-1987	3-4-1987	27.05 	0.297 	4.075 	14.65 	0.388 	#N/A	#N/A	#N/A	5.020 	#N/A
	3-4-1987	3-11-1987	28.02 	0.449 	4.577 	15.21 	0.748 	#N/A	#N/A	#N/A	5.211 	#N/A
	3-11-1987	3-18-1987	27.79 	0.228 	4.262 	15.56 	0.345 	#N/A	#N/A	#N/A	3.813 	#N/A
	3-18-1987	3-25-1987	31.07 	0.150 	4.605 	18.63 	-0.084 	#N/A	#N/A	#N/A	#N/A	#N/A
	3-25-1987	4-1-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-1-1987	4-8-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-8-1987	4-15-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-15-1987	4-22-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-22-1987	4-29-1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-29-1987	5-6-1987	39.95 	0.135 	5.478 	21.42 	0.085 	#N/A	#N/A	#N/A	#N/A	#N/A
	5-6-1987	5-13-1987	31.51 	0.207 	4.629 	16.97 	0.356 	#N/A	#N/A	#N/A	#N/A	#N/A
	5-13-1987	5-20-1987	23.16 	0.198 	3.591 	12.51 	0.443 	#N/A	#N/A	#N/A	#N/A	#N/A
	5-20-1987	5-27-1987	24.37 	0.248 	3.640 	13.21 	0.314 	#N/A	#N/A	#N/A	#N/A	#N/A
	5-27-1987	6-4-1987	32.07 	0.175 	4.683 	16.85 	0.443 	#N/A	#N/A	#N/A	#N/A	#N/A
	6-4-1987	6-10-1987	34.27 	0.146 	4.917 	18.56 	0.246 	#N/A	#N/A	#N/A	#N/A	#N/A
