
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	5-1-1992	30	1.956	1.554	1.189	0.612	3.837	30	2.681	1.682	2.904	0.819	4.146	30	5.155	3.381	4.751	2.236	7.373	30	1.713	0.957	1.458	0.720	2.955	30	4.724	3.515	4.606	1.533	7.006	25	0.0458	0.0161	0.0429	0.0224	0.0630	30	1.954	1.217	1.529	0.816	3.128	30	1.314	0.850	1.007	0.366	2.257
	6-1-1992	28	3.224	1.302	3.458	1.833	4.121	28	1.327	0.673	1.039	0.731	2.203	28	1.985	0.849	1.557	1.274	2.941	28	1.902	0.637	1.884	1.355	2.405	28	1.507	0.833	1.131	0.803	2.369	24	0.0278	0.0178	0.0225	0.0141	0.0442	28	8.896	16.703	2.145	0.743	12.295	28	0.602	0.269	0.554	0.320	0.930
	7-1-1992	28	3.672	1.213	3.889	2.590	4.572	28	1.802	1.312	1.310	0.956	3.423	28	2.501	1.032	1.875	1.784	3.686	28	2.546	0.670	2.603	2.041	3.099	28	1.860	1.086	1.486	1.095	3.101	0						28	29.648	17.629	24.436	13.891	52.715	28	0.411	0.402	0.250	0.069	0.909
	8-1-1992	20	3.414	1.562	4.002	1.548	4.734	20	1.142	0.494	0.961	0.771	1.466	20	1.682	0.404	1.713	1.265	1.972	20	2.118	0.850	2.347	1.117	2.918	20	1.148	0.339	1.066	0.882	1.518	0						20	6.560	4.642	4.687	2.384	9.692	20	0.350	0.175	0.348	0.162	0.459
	9-1-1992	0						0						0						0						0						0						0						0					
	10-1-1992	26	3.463	2.764	2.937	0.656	5.149	26	2.520	1.521	2.269	1.121	3.848	26	4.475	2.140	4.614	2.356	5.832	26	2.452	1.472	2.113	0.827	3.763	26	3.857	2.132	3.827	1.622	5.644	0						26	0.791	0.660	0.550	0.277	1.432	26	0.940	0.692	0.793	0.333	1.327
	11-1-1992	25	8.044	4.595	7.110	5.351	11.201	25	0.880	0.427	0.712	0.482	1.355	25	2.223	0.965	1.877	1.469	2.477	25	4.670	2.534	4.184	2.908	6.575	25	1.048	0.708	0.849	0.512	1.353	0						25	0.622	0.603	0.446	0.299	0.929	25	0.331	0.200	0.319	0.156	0.460
	12-1-1992	23	4.163	2.385	4.057	2.368	4.569	23	1.416	1.323	1.012	0.673	1.908	23	1.982	0.907	1.865	1.009	3.238	23	2.640	1.388	2.313	1.619	3.026	23	1.318	0.858	1.144	0.537	2.477	0						23	0.705	1.467	0.266	0.184	0.855	23	0.457	0.522	0.177	0.162	0.708
	1-1-1993	28	6.488	3.036	5.926	3.215	10.065	28	1.232	1.166	0.855	0.588	1.604	28	2.060	0.756	1.871	1.461	2.813	28	3.760	1.658	3.574	1.949	5.737	28	1.113	0.855	0.776	0.382	2.072	0						28	0.589	0.373	0.476	0.266	1.137	28	0.485	0.378	0.384	0.103	0.770
	2-1-1993	21	4.625	1.848	3.872	2.990	7.115	21	1.894	1.086	1.695	0.949	2.414	21	3.063	1.194	2.645	1.641	4.138	21	2.889	0.942	3.067	1.865	3.952	21	2.335	1.222	1.827	1.057	3.366	0						21	0.629	0.410	0.536	0.249	0.843	21	0.831	0.413	0.772	0.540	1.176
