
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	_NA	_V	_AL	_PB210
	10-15-1982	10-21-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-21-1982	10-28-1982	25.220 	0.013 	3.509 	13.641 	0.075 	#N/A	13.2 	#N/A	0.20 	0.018 
	10-28-1982	11-4-1982	5.662 	0.027 	0.886 	3.148 	0.094 	#N/A	2.5 	0.030 	0.20 	0.008 
	11-4-1982	1-27-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-27-1983	2-3-1983	24.861 	0.150 	4.066 	13.619 	0.638 	#N/A	11.0 	0.207 	4.35 	0.059 
	2-3-1983	2-10-1983	12.727 	0.097 	2.428 	7.014 	0.662 	#N/A	9.0 	#N/A	2.49 	0.097 
	2-10-1983	2-17-1983	15.776 	0.164 	2.975 	8.865 	0.744 	#N/A	8.0 	#N/A	2.25 	0.130 
	2-17-1983	2-24-1983	19.677 	0.219 	3.783 	10.629 	1.108 	#N/A	10.4 	0.111 	6.16 	0.155 
	2-24-1983	3-3-1983	14.369 	0.178 	2.596 	8.156 	0.543 	#N/A	7.3 	#N/A	6.85 	0.142 
	3-3-1983	3-10-1983	14.085 	0.336 	2.903 	7.864 	0.923 	#N/A	8.8 	#N/A	8.19 	0.240 
	3-10-1983	3-17-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-17-1983	3-24-1983	17.264 	0.188 	2.934 	9.414 	0.564 	#N/A	10.0 	#N/A	19.45 	0.183 
	3-24-1983	4-2-1983	15.024 	0.141 	2.665 	8.307 	0.574 	#N/A	5.6 	#N/A	18.99 	0.007 
	4-2-1983	4-7-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-7-1983	4-15-1983	7.506 	0.286 	2.051 	4.533 	0.910 	#N/A	3.7 	0.039 	18.32 	0.160 
	4-15-1983	4-21-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-21-1983	5-5-1983	3.400 	0.029 	0.542 	1.930 	0.056 	#N/A	3.0 	0.026 	11.62 	0.061 
	5-5-1983	5-12-1983	8.603 	0.217 	1.886 	4.873 	0.659 	#N/A	2.3 	0.135 	38.32 	0.130 
	5-12-1983	5-19-1983	13.076 	0.482 	3.385 	7.855 	1.408 	#N/A	10.6 	0.361 	95.25 	0.266 
	5-19-1983	5-26-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-26-1983	6-2-1983	5.099 	0.062 	0.868 	2.872 	0.146 	#N/A	2.3 	#N/A	3.51 	0.058 
	6-2-1983	6-9-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-9-1983	6-16-1983	5.190 	0.065 	1.002 	2.898 	0.272 	#N/A	#N/A	#N/A	0.20 	0.063 
	6-16-1983	6-23-1983	4.631 	0.044 	0.757 	2.685 	0.081 	#N/A	2.2 	#N/A	17.22 	0.092 
	6-23-1983	6-30-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-30-1983	7-7-1983	8.866 	0.138 	1.977 	5.100 	0.693 	#N/A	0.2 	#N/A	7.67 	0.135 
	7-7-1983	7-14-1983	8.826 	0.032 	1.109 	4.915 	-0.129 	#N/A	1.3 	#N/A	0.20 	0.015 
	7-14-1983	7-21-1983	9.534 	0.168 	2.524 	5.596 	1.116 	#N/A	10.2 	#N/A	3.02 	0.063 
	7-21-1983	7-28-1983	4.884 	0.101 	1.655 	2.969 	0.907 	#N/A	2.9 	#N/A	1.27 	0.043 
	7-28-1983	8-4-1983	7.379 	0.200 	2.781 	4.589 	1.626 	#N/A	0.9 	#N/A	0.20 	0.030 
	8-4-1983	8-11-1983	7.181 	0.106 	1.782 	4.315 	0.696 	#N/A	7.0 	#N/A	0.59 	0.061 
	8-11-1983	8-18-1983	5.883 	0.153 	1.559 	3.526 	0.671 	#N/A	3.9 	#N/A	4.48 	0.044 
	8-18-1983	8-25-1983	5.137 	0.177 	1.892 	3.226 	1.080 	#N/A	3.3 	#N/A	6.28 	0.153 
	8-25-1983	9-1-1983	3.548 	0.175 	1.540 	2.259 	0.972 	#N/A	2.4 	0.551 	6.53 	0.173 
	9-1-1983	9-8-1983	4.725 	0.175 	1.906 	2.921 	1.171 	#N/A	3.1 	0.056 	1.45 	0.074 
	9-8-1983	9-15-1983	6.298 	0.120 	1.916 	3.836 	0.950 	#N/A	3.7 	0.033 	9.79 	0.059 
	9-15-1983	9-22-1983	6.819 	0.117 	1.907 	4.024 	0.894 	#N/A	4.3 	0.035 	1.47 	0.045 
	9-22-1983	9-29-1983	6.915 	0.207 	1.889 	4.110 	0.855 	#N/A	3.6 	#N/A	1.92 	0.155 
	9-29-1983	10-6-1983	6.364 	0.318 	2.161 	3.769 	1.212 	#N/A	4.5 	#N/A	3.04 	0.175 
	10-6-1983	10-13-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-13-1983	10-20-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-20-1983	10-27-1983	8.435 	0.139 	2.036 	4.933 	0.795 	#N/A	4.9 	#N/A	1.37 	0.059 
	10-27-1983	11-3-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
