
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	AVG_CA	AVG_MG	AVG_K	_NA	_AL	_BE7	_PB210
	11-21-1985	11-28-1985	5.867	0.222	1.170	3.372	0.322	#N/A	#N/A	0.048	#N/A	#N/A	#N/A	#N/A	3.49	3.80	3.975	#N/A
	11-28-1985	12-5-1985	6.654	0.195	1.517	3.930	0.528	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.090	#N/A
	12-5-1985	12-12-1985	6.687	0.197	1.420	3.820	0.458	#N/A	#N/A	0.033	#N/A	#N/A	#N/A	#N/A	3.80	2.60	2.071	#N/A
	12-12-1985	12-20-1985	14.585	0.097	2.496	8.195	0.434	#N/A	#N/A	0.039	#N/A	#N/A	#N/A	#N/A	8.20	3.10	0.835	#N/A
	12-20-1985	12-26-1985	13.694	0.247	2.877	8.873	0.644	#N/A	#N/A	0.089	#N/A	#N/A	#N/A	#N/A	9.86	7.10	3.207	#N/A
	12-26-1985	1-2-1986	13.432	0.150	2.273	7.331	0.428	#N/A	#N/A	0.056	#N/A	#N/A	#N/A	#N/A	8.48	4.50	2.689	#N/A
	1-2-1986	1-9-1986	11.531	0.110	1.915	6.390	0.307	#N/A	#N/A	0.050	#N/A	#N/A	#N/A	#N/A	6.51	4.00	1.520	#N/A
	1-9-1986	1-16-1986	6.493	0.066	1.325	3.795	0.370	#N/A	#N/A	0.024	#N/A	#N/A	#N/A	#N/A	4.10	1.90	0.868	#N/A
	1-16-1986	1-23-1986	6.035	0.057	1.395	3.672	0.471	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	3.87	1.10	1.370	#N/A
	1-23-1986	1-30-1986	9.243	0.079	1.559	5.354	0.211	#N/A	#N/A	0.046	#N/A	#N/A	#N/A	#N/A	5.40	3.70	1.687	#N/A
	1-30-1986	2-13-1986	19.365	0.144	3.461	11.150	0.655	#N/A	#N/A	0.074	#N/A	#N/A	#N/A	#N/A	10.26	5.90	#N/A	#N/A
	2-13-1986	2-20-1986	12.674	0.151	2.107	6.983	0.350	#N/A	#N/A	0.034	#N/A	#N/A	#N/A	#N/A	7.89	2.70	#N/A	#N/A
	2-20-1986	2-27-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-27-1986	3-6-1986	6.704	0.078	1.346	3.977	0.345	#N/A	#N/A	0.025	#N/A	#N/A	#N/A	#N/A	0.34	2.00	#N/A	#N/A
	3-6-1986	3-14-1986	5.903	0.065	1.330	3.529	0.442	#N/A	#N/A	0.033	#N/A	#N/A	#N/A	#N/A	3.83	2.60	#N/A	#N/A
	3-14-1986	3-20-1986	5.285	0.085	1.088	3.082	0.312	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	5.19	1.00	#N/A	#N/A
	3-20-1986	3-27-1986	6.277	0.183	1.461	3.613	0.552	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	4.26	0.80	#N/A	#N/A
	3-27-1986	4-3-1986	6.190	0.088	1.278	3.533	0.389	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	0.69	0.20	#N/A	#N/A
	4-3-1986	4-10-1986	4.134	0.053	0.777	2.440	0.162	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	0.20	#N/A	#N/A
	4-10-1986	5-1-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-1-1986	5-9-1986	6.987	0.129	1.375	4.044	0.357	#N/A	#N/A	0.029	#N/A	#N/A	#N/A	#N/A	5.90	2.30	#N/A	#N/A
	5-9-1986	5-15-1986	11.409	0.062	1.765	6.251	0.191	#N/A	#N/A	0.066	#N/A	#N/A	#N/A	#N/A	9.01	5.30	2.796	#N/A
	5-15-1986	5-22-1986	5.177	0.039	0.863	2.999	0.108	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	3.05	1.10	1.727	#N/A
