
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	AVG_CA	AVG_MG	AVG_K	_NA	_AL	_BE7	_PB210
	10-2-1989	10-6-1989	7.596	0.072	1.362	4.322	0.274	#N/A	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-6-1989	10-12-1989	6.561	0.145	1.401	3.907	0.417	#N/A	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-12-1989	10-13-1989	8.095	0.095	1.695	4.819	0.482	#N/A	#N/A	#N/A	0.025	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-13-1989	10-17-1989	6.236	0.096	1.368	3.712	0.433	#N/A	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-17-1989	10-31-1989	8.658	0.147	1.997	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-31-1989	11-6-1989	12.393	0.162	2.009	6.985	0.251	0.0111	#N/A	0.011	0.028	#N/A	#N/A	#N/A	#N/A	0.88	#N/A	#N/A
	11-6-1989	11-13-1989	10.753	0.266	1.802	6.054	0.279	0.0141	#N/A	0.004	0.027	#N/A	#N/A	#N/A	#N/A	0.32	#N/A	#N/A
	11-13-1989	11-20-1989	8.569	0.204	1.734	5.012	0.473	0.0255	#N/A	0.005	0.014	#N/A	#N/A	#N/A	#N/A	0.42	#N/A	#N/A
	11-20-1989	11-27-1989	10.830	0.100	1.953	6.142	0.407	0.0168	#N/A	0.039	0.023	#N/A	#N/A	#N/A	#N/A	3.08	#N/A	#N/A
	11-27-1989	12-4-1989	8.757	0.081	1.684	4.904	0.450	0.0255	#N/A	0.091	0.061	#N/A	#N/A	#N/A	#N/A	7.26	#N/A	#N/A
	12-4-1989	12-11-1989	9.343	0.203	1.705	5.518	0.316	#N/A	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-11-1989	12-19-1989	13.576	0.085	2.333	8.149	0.282	#N/A	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-19-1989	12-26-1989	8.078	0.137	1.689	4.858	0.466	#N/A	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-26-1989	1-3-1990	6.805	0.130	1.431	4.037	0.415	#N/A	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-3-1990	1-10-1990	6.949	0.111	1.694	4.156	0.648	0.0374	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-10-1990	1-18-1990	6.800	0.049	1.327	3.876	0.351	0.0232	#N/A	#N/A	-0.005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-18-1990	1-26-1990	8.416	0.133	1.699	4.951	0.452	0.0227	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-26-1990	2-1-1990	5.348	0.058	1.362	3.145	0.570	0.0267	#N/A	#N/A	0.029	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-1-1990	2-12-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-12-1990	2-23-1990	18.518	0.090	3.038	10.154	0.483	0.0255	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-23-1990	3-2-1990	6.651	0.075	1.418	3.726	0.480	0.0298	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-2-1990	3-12-1990	10.636	0.102	2.051	5.823	0.586	0.0263	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-12-1990	3-16-1990	7.425	0.089	1.455	4.236	0.389	0.0229	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-16-1990	3-23-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-23-1990	3-30-1990	9.681	0.037	1.640	5.383	0.285	0.0138	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-30-1990	4-6-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-6-1990	4-13-1990	13.154	0.072	2.637	7.230	0.817	0.0496	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-13-1990	4-20-1990	8.084	0.037	1.335	4.449	0.215	0.0102	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-20-1990	4-27-1990	5.412	0.097	1.004	3.075	0.230	0.0134	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-27-1990	5-4-1990	4.743	0.067	0.945	2.671	0.273	0.0140	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-4-1990	5-10-1990	5.548	0.089	1.204	3.212	0.395	0.0232	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-10-1990	5-17-1990	6.846	0.082	1.765	4.133	0.725	0.0420	#N/A	0.007	0.028	#N/A	#N/A	#N/A	#N/A	0.59	#N/A	#N/A
	5-17-1990	5-24-1990	9.328	0.074	1.750	5.450	0.378	0.0277	#N/A	0.005	0.018	#N/A	#N/A	#N/A	#N/A	0.43	#N/A	#N/A
	5-24-1990	5-31-1990	5.634	0.158	1.111	3.355	0.267	0.0167	#N/A	0.028	0.025	#N/A	#N/A	#N/A	#N/A	2.25	#N/A	#N/A
	5-31-1990	6-7-1990	8.359	0.055	1.547	4.752	0.351	0.0226	#N/A	0.006	0.012	#N/A	#N/A	#N/A	#N/A	0.52	#N/A	#N/A
	6-7-1990	6-11-1990	7.051	0.103	1.770	4.263	0.697	0.0559	#N/A	0.023	0.008	#N/A	#N/A	#N/A	#N/A	1.84	#N/A	#N/A
	6-11-1990	6-18-1990	7.892	0.068	1.592	4.405	0.483	0.0368	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-18-1990	6-25-1990	6.538	0.082	1.305	3.755	0.360	0.0190	#N/A	#N/A	-0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-25-1990	7-2-1990	10.005	0.045	1.677	5.559	0.278	0.0092	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-2-1990	7-10-1990	5.478	0.112	1.078	3.190	0.275	0.0113	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-10-1990	7-16-1990	8.617	0.085	1.911	4.933	0.670	0.0480	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-16-1990	7-23-1990	9.348	0.059	1.605	5.259	0.281	0.0101	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-23-1990	7-30-1990	13.902	0.116	2.281	7.802	0.317	0.0146	#N/A	#N/A	-0.011	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-30-1990	8-6-1990	10.335	0.076	1.679	5.728	0.237	0.0096	#N/A	#N/A	-0.007	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-6-1990	8-13-1990	6.699	0.056	1.118	3.715	0.183	0.0076	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-13-1990	8-20-1990	7.420	0.127	1.501	4.324	0.413	0.0282	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-20-1990	8-27-1990	6.043	0.187	1.400	3.674	0.475	0.0310	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-27-1990	9-4-1990	7.371	0.132	1.471	4.507	0.337	0.0308	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-4-1990	9-10-1990	6.712	0.150	1.350	3.871	0.376	0.0205	#N/A	#N/A	0.017	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-10-1990	9-17-1990	5.671	0.141	1.485	3.442	0.618	0.0479	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-17-1990	9-24-1990	7.134	0.127	1.455	4.010	0.446	0.0250	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1990	10-1-1990	7.045	0.119	1.704	4.338	0.613	0.0392	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-1-1990	10-9-1990	9.249	0.185	2.037	5.314	0.700	0.0376	#N/A	#N/A	0.009	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-9-1990	10-15-1990	9.462	0.082	1.614	5.476	0.235	0.0144	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-15-1990	10-22-1990	6.131	0.093	1.287	3.543	0.395	0.0235	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-22-1990	10-30-1990	8.763	0.263	1.649	4.876	0.422	0.0143	#N/A	#N/A	0.023	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-30-1990	11-6-1990	6.260	0.129	1.389	3.734	0.449	0.0245	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-6-1990	11-14-1990	10.176	0.101	1.799	5.975	0.295	0.0242	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-14-1990	11-21-1990	7.029	0.022	1.156	3.915	0.171	0.0140	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-21-1990	11-28-1990	6.168	0.022	1.013	3.559	0.117	0.0129	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-28-1990	12-5-1990	8.577	0.234	1.543	4.843	0.324	0.0147	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-5-1990	12-12-1990	8.541	0.103	1.440	4.987	0.185	0.0121	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-12-1990	12-19-1990	8.356	0.090	1.504	4.778	0.302	0.0180	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-19-1990	12-26-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-26-1990	1-2-1991	5.146	0.215	1.335	3.063	0.564	0.0287	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-2-1991	1-9-1991	4.258	0.088	1.265	2.646	0.599	0.0292	#N/A	#N/A	0.012	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-9-1991	1-16-1991	5.098	0.066	1.138	2.897	0.409	0.0286	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-16-1991	1-30-1991	8.625	0.096	1.840	4.682	0.661	0.0396	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-30-1991	2-6-1991	4.929	0.075	1.289	3.002	0.533	0.0272	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-6-1991	2-13-1991	8.682	0.144	1.531	4.803	0.322	0.0125	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-13-1991	2-21-1991	12.433	0.060	1.880	6.850	0.156	0.0117	#N/A	#N/A	0.016	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-21-1991	2-27-1991	15.652	0.275	2.077	8.433	#N/A	#N/A	#N/A	#N/A	0.089	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-27-1991	3-6-1991	6.881	0.054	1.472	3.774	0.522	0.0302	#N/A	#N/A	0.080	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-6-1991	3-13-1991	8.362	0.105	1.970	4.860	0.747	0.0419	#N/A	#N/A	0.029	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-13-1991	3-20-1991	7.020	0.109	1.388	4.039	0.371	0.0206	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-20-1991	3-27-1991	10.565	0.120	1.799	5.620	0.384	0.0150	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-27-1991	4-3-1991	9.013	0.045	1.482	4.960	0.233	0.0207	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-3-1991	4-10-1991	9.289	0.086	1.568	5.206	0.257	0.0117	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-10-1991	4-17-1991	6.061	0.082	1.310	3.526	0.422	0.0231	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-17-1991	4-24-1991	10.196	0.096	1.699	5.841	0.229	0.0127	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-24-1991	5-2-1991	5.697	0.061	1.154	3.318	0.319	0.0192	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-2-1991	5-9-1991	9.703	0.172	2.649	5.863	1.174	0.0559	#N/A	#N/A	0.064	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-9-1991	5-16-1991	11.923	0.116	1.922	6.441	0.301	0.0089	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-16-1991	5-22-1991	10.504	0.095	1.664	5.834	0.196	0.0170	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-22-1991	5-30-1991	10.051	0.061	1.626	5.433	0.258	0.0114	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-30-1991	6-5-1991	4.351	0.067	1.049	2.543	0.409	0.0245	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-5-1991	6-12-1991	7.305	0.093	#N/A	4.487	#N/A	0.0126	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-12-1991	6-19-1991	10.083	0.074	1.714	5.627	0.298	0.0203	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-19-1991	6-26-1991	8.892	0.123	1.735	5.185	0.430	0.0133	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-26-1991	7-3-1991	7.469	0.095	1.500	4.227	0.436	0.0261	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-3-1991	7-11-1991	10.728	0.141	1.859	5.952	0.361	0.0202	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-11-1991	7-19-1991	10.182	0.115	1.705	5.567	0.304	0.0147	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-19-1991	7-24-1991	11.010	0.092	2.210	6.317	0.620	0.0213	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-24-1991	7-31-1991	8.460	0.173	1.480	4.926	0.240	0.0153	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-31-1991	8-7-1991	12.153	0.140	2.197	7.699	0.259	0.0303	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-7-1991	8-14-1991	14.829	0.125	2.307	9.295	#N/A	#N/A	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-14-1991	8-21-1991	8.743	0.084	1.517	5.020	0.253	0.0144	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-21-1991	8-30-1991	9.540	0.099	1.909	5.606	0.499	0.0273	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-30-1991	9-5-1991	8.352	0.277	1.738	4.899	0.505	0.0224	#N/A	#N/A	0.017	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-5-1991	9-12-1991	14.550	0.109	2.492	8.456	0.363	0.0112	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-12-1991	9-18-1991	9.075	0.130	1.764	5.481	0.384	0.0174	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-18-1991	9-25-1991	11.460	0.272	2.260	6.613	0.595	0.0136	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-25-1991	10-2-1991	5.868	0.222	1.685	3.850	0.716	0.0311	#N/A	#N/A	0.019	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-2-1991	10-9-1991	4.782	0.115	1.193	2.952	0.450	0.0188	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-9-1991	10-17-1991	8.108	0.173	1.851	4.848	0.631	0.0229	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-17-1991	10-23-1991	10.607	0.134	2.117	6.250	0.544	0.0232	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-23-1991	10-31-1991	6.835	0.108	1.463	4.076	0.438	0.0188	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-31-1991	11-7-1991	7.735	0.151	1.668	4.763	0.469	0.0264	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-7-1991	11-13-1991	5.762	0.125	1.166	3.554	0.272	0.0171	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-13-1991	11-20-1991	13.403	0.130	2.235	7.813	0.268	0.0147	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-20-1991	11-27-1991	7.758	0.127	1.620	4.732	0.429	0.0154	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-27-1991	12-5-1991	6.523	0.127	1.509	3.970	0.510	0.0242	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-5-1991	12-12-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-12-1991	12-18-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-18-1991	12-26-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-26-1991	1-2-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-15-1992	1-22-1992	16.429	0.232	2.896	10.261	0.314	0.0197	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-22-1992	2-5-1992	17.544	0.085	2.794	11.628	-0.133	0.0159	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-5-1992	2-14-1992	9.264	0.090	1.595	5.400	0.236	0.0219	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-14-1992	2-19-1992	26.226	0.181	3.907	17.517	-0.502	0.0303	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-19-1992	2-26-1992	10.196	0.057	1.729	5.783	0.273	0.0134	#N/A	#N/A	0.059	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-26-1992	3-4-1992	4.040	0.037	0.792	2.365	0.197	0.0146	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-4-1992	3-18-1992	12.394	0.026	1.919	7.511	0.029	0.0162	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-18-1992	3-25-1992	7.967	0.119	1.375	4.483	0.247	0.0136	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-25-1992	4-2-1992	10.217	0.079	1.797	5.670	0.370	0.0184	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-2-1992	4-9-1992	12.200	0.085	2.171	7.510	0.281	0.0300	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-9-1992	4-16-1992	8.153	0.105	1.428	4.564	0.279	0.0170	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-16-1992	4-23-1992	5.806	0.009	0.763	3.343	-0.079	0.0040	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-23-1992	4-30-1992	16.206	0.042	2.348	10.186	-0.216	0.0187	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-30-1992	5-6-1992	7.921	0.037	1.488	4.380	0.385	0.0237	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-6-1992	5-13-1992	8.599	0.071	1.780	5.234	0.463	0.0363	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-13-1992	5-20-1992	13.189	0.045	1.456	7.591	-0.455	0.0288	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-20-1992	5-28-1992	5.490	0.096	1.156	3.372	0.307	0.0286	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-28-1992	6-3-1992	6.064	0.134	1.265	3.819	0.304	0.0270	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-3-1992	6-10-1992	10.696	0.043	1.638	7.934	-0.359	0.0147	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-10-1992	6-17-1992	7.310	0.264	1.326	4.322	0.238	0.0179	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-17-1992	6-25-1992	11.609	0.221	2.052	7.019	0.285	0.0260	#N/A	#N/A	0.009	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-25-1992	7-2-1992	10.559	0.085	1.762	6.368	0.159	0.0250	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-2-1992	7-10-1992	9.559	0.100	1.693	7.138	-0.104	0.0322	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-10-1992	7-15-1992	8.130	0.152	1.525	4.681	0.347	0.0265	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-15-1992	7-22-1992	7.747	0.088	1.533	4.700	0.350	0.0346	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-22-1992	7-29-1992	11.070	0.067	1.887	7.611	-0.029	0.0288	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	7-29-1992	8-5-1992	7.715	0.060	1.716	4.639	0.549	0.0496	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-5-1992	8-13-1992	12.983	0.085	2.149	9.739	-0.302	0.0264	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-13-1992	8-19-1992	8.262	0.112	1.809	5.068	0.534	0.0070	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-19-1992	8-26-1992	9.895	0.067	2.084	7.090	0.300	0.0292	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-26-1992	9-2-1992	7.304	0.154	1.606	4.547	0.461	0.0491	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-2-1992	9-9-1992	5.858	0.165	1.554	3.642	0.637	0.0358	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-9-1992	9-16-1992	12.835	0.170	2.533	9.019	0.262	0.0522	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-16-1992	9-23-1992	7.546	0.181	1.635	4.594	0.479	0.0354	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-23-1992	9-30-1992	6.397	0.153	1.400	3.922	0.413	0.0332	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-30-1992	10-7-1992	8.226	0.226	1.940	5.125	0.650	0.0406	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-7-1992	10-14-1992	15.521	0.263	3.115	9.391	0.751	0.0303	#N/A	#N/A	0.048	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-14-1992	10-21-1992	8.192	0.302	2.086	5.206	0.775	0.0315	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-21-1992	10-28-1992	6.126	0.107	1.287	3.679	0.361	0.0197	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
