
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	5-24-1982	5-29-1982	4.889	0.265	1.126	2.737	0.437	#N/A	#N/A	0.944	#N/A	2.2	0.380	75.5	#N/A	#N/A
	5-29-1982	6-5-1982	4.581	0.473	1.244	2.620	0.585	#N/A	#N/A	0.705	#N/A	3.1	0.329	56.4	#N/A	#N/A
	6-5-1982	6-13-1982	4.690	0.442	1.325	2.907	0.593	#N/A	#N/A	0.538	#N/A	2.6	0.421	43.0	#N/A	#N/A
	6-13-1982	6-20-1982	5.968	0.276	1.159	3.451	0.290	#N/A	#N/A	0.264	#N/A	2.2	0.095	21.1	#N/A	#N/A
	6-20-1982	6-27-1982	2.358	0.197	0.895	1.422	0.537	#N/A	#N/A	0.152	#N/A	1.4	0.102	12.1	#N/A	#N/A
	6-27-1982	7-11-1982	9.940	0.145	1.675	5.127	0.384	#N/A	#N/A	0.042	#N/A	0.9	0.016	3.4	#N/A	#N/A
	7-11-1982	7-18-1982	12.295	0.199	2.049	6.590	0.390	#N/A	#N/A	0.091	#N/A	6.6	#N/A	7.3	#N/A	#N/A
	7-18-1982	8-1-1982	7.832	0.198	0.995	4.167	-0.054	#N/A	#N/A	0.121	#N/A	3.2	0.081	9.7	#N/A	#N/A
	8-1-1982	8-7-1982	9.307	0.228	1.720	5.078	0.442	#N/A	#N/A	0.089	#N/A	5.2	#N/A	7.1	#N/A	#N/A
	8-7-1982	8-21-1982	8.529	0.274	1.619	4.516	0.483	#N/A	#N/A	0.306	#N/A	4.0	0.209	24.5	#N/A	#N/A
	8-21-1982	8-28-1982	7.136	0.176	1.395	4.093	0.364	#N/A	#N/A	0.257	#N/A	8.0	0.060	20.5	#N/A	#N/A
	8-28-1982	9-6-1982	9.201	0.477	1.936	5.333	0.594	#N/A	#N/A	0.383	#N/A	11.4	0.215	30.6	#N/A	#N/A
	9-6-1982	9-12-1982	11.689	0.404	2.205	6.493	0.571	#N/A	#N/A	1.509	#N/A	5.6	0.248	120.7	#N/A	#N/A
	9-12-1982	9-19-1982	5.180	0.298	1.252	2.967	0.505	#N/A	#N/A	0.128	#N/A	3.2	0.172	10.3	#N/A	#N/A
	9-19-1982	9-25-1982	4.264	0.170	1.046	2.374	0.448	#N/A	#N/A	0.043	#N/A	2.7	0.065	3.5	#N/A	#N/A
	9-25-1982	10-6-1982	9.888	0.132	1.570	5.240	0.251	#N/A	#N/A	0.095	#N/A	4.9	0.039	7.6	#N/A	#N/A
	10-6-1982	10-9-1982	5.578	0.096	0.986	2.954	0.242	#N/A	#N/A	0.024	#N/A	2.6	0.093	1.9	#N/A	#N/A
	10-9-1982	10-17-1982	7.145	0.159	1.330	4.023	0.317	#N/A	#N/A	0.066	#N/A	4.0	0.096	5.2	#N/A	#N/A
	10-17-1982	10-23-1982	6.291	0.239	1.337	3.459	0.467	#N/A	#N/A	0.094	#N/A	3.0	0.093	7.5	#N/A	#N/A
	10-23-1982	11-6-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-6-1982	11-9-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-9-1982	11-16-1982	15.218	0.241	2.100	7.794	0.138	#N/A	#N/A	0.163	#N/A	5.8	0.123	13.0	#N/A	#N/A
	11-16-1982	12-31-1982	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-31-1982	1-16-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-16-1983	2-6-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-6-1983	2-21-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-21-1983	2-26-1983	7.436	1.262	1.800	4.255	0.729	#N/A	#N/A	1.106	#N/A	5.9	1.012	88.5	#N/A	#N/A
