
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	2-22-1990	3-1-1990	7.457	0.552	4.822	4.850	3.601	0.0190	#N/A	#N/A	0.723	#N/A	#N/A	#N/A	#N/A	#N/A
	3-1-1990	3-8-1990	15.844	0.188	2.529	8.655	0.351	0.0077	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	3-8-1990	3-15-1990	17.075	0.123	2.640	9.570	0.231	0.0076	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	3-15-1990	3-22-1990	7.826	0.656	3.000	4.875	1.773	0.0264	#N/A	#N/A	0.157	#N/A	#N/A	#N/A	#N/A	#N/A
	3-22-1990	3-29-1990	5.021	0.375	2.955	3.504	2.073	0.0295	#N/A	#N/A	0.063	#N/A	#N/A	#N/A	#N/A	#N/A
	3-29-1990	4-4-1990	5.376	0.319	1.137	3.138	0.347	0.0176	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	#N/A
	4-4-1990	4-12-1990	7.467	1.130	3.599	4.643	2.431	0.0395	#N/A	#N/A	0.577	#N/A	#N/A	#N/A	#N/A	#N/A
	4-4-1990	4-12-1990	3.490	1.236	2.195	2.225	1.635	0.0310	#N/A	#N/A	0.480	#N/A	#N/A	#N/A	#N/A	#N/A
	4-14-1990	4-20-1990	4.465	0.354	1.615	2.736	0.926	0.0334	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A
	4-20-1990	4-26-1990	7.903	0.219	1.688	4.366	0.589	0.0160	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	#N/A
	4-26-1990	5-3-1990	4.820	0.259	1.348	2.832	0.635	0.0143	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	#N/A
	5-3-1990	5-10-1990	7.693	0.241	1.532	4.209	0.472	0.0170	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	5-10-1990	5-17-1990	3.648	0.238	1.038	2.284	0.463	0.0270	#N/A	0.635	0.058	#N/A	#N/A	50.8	#N/A	#N/A
	5-17-1990	5-24-1990	6.581	0.255	1.519	3.895	0.539	0.0301	#N/A	0.533	0.050	#N/A	#N/A	42.7	#N/A	#N/A
	5-24-1990	5-31-1990	6.196	0.282	1.482	3.704	0.550	0.0339	#N/A	0.440	0.031	#N/A	#N/A	35.2	#N/A	#N/A
	5-31-1990	6-7-1990	6.472	0.399	1.813	3.893	0.833	0.0369	#N/A	0.630	0.116	#N/A	#N/A	50.4	#N/A	#N/A
	6-7-1990	6-14-1990	6.513	0.274	1.496	3.830	0.532	0.0255	#N/A	0.435	0.026	#N/A	#N/A	34.8	#N/A	#N/A
	6-14-1990	6-21-1990	8.609	0.199	1.775	5.025	0.510	0.0225	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	6-21-1990	6-28-1990	6.409	0.232	1.586	3.660	0.665	0.0229	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	6-28-1990	7-5-1990	6.794	0.360	1.589	3.915	0.604	0.0193	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	7-5-1990	7-12-1990	3.943	0.156	0.913	2.192	0.362	0.0178	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	7-12-1990	7-19-1990	5.390	0.188	1.259	3.094	0.480	0.0257	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	7-19-1990	7-26-1990	5.063	0.213	1.187	2.857	0.468	0.0227	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	7-26-1990	8-2-1990	4.240	0.284	1.120	2.540	0.481	0.0181	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	8-2-1990	8-9-1990	3.771	0.435	1.204	2.459	0.585	0.0215	#N/A	#N/A	0.013	#N/A	#N/A	#N/A	#N/A	#N/A
	8-9-1990	8-16-1990	4.713	0.285	1.158	2.945	0.417	0.0201	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	8-16-1990	8-23-1990	5.651	0.197	1.223	3.225	0.411	0.0190	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	8-23-1990	8-30-1990	6.686	0.248	1.474	3.646	0.557	0.0308	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	8-30-1990	9-6-1990	5.442	0.226	1.350	3.126	0.563	0.0198	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	9-6-1990	9-14-1990	5.365	0.277	1.269	3.072	0.496	0.0220	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	9-14-1990	9-21-1990	9.417	0.442	2.220	5.656	0.797	0.0250	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A
	9-21-1990	9-28-1990	4.585	0.278	1.180	2.732	0.493	0.0227	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	9-28-1990	10-4-1990	6.685	0.322	1.517	3.785	0.564	0.0233	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	10-4-1990	10-11-1990	6.653	0.264	1.432	4.099	0.400	0.0187	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	10-11-1990	10-18-1990	7.034	0.176	1.376	4.079	0.350	0.0151	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	10-18-1990	10-25-1990	6.056	0.180	1.310	3.498	0.429	0.0127	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	10-25-1990	11-1-1990	5.936	0.181	1.166	3.325	0.329	0.0122	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	11-1-1990	11-8-1990	8.791	0.227	1.622	5.232	0.305	0.0125	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	11-8-1990	11-15-1990	7.609	0.370	1.500	4.372	0.400	0.0093	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	11-15-1990	11-21-1990	20.754	0.187	3.446	11.846	0.465	0.0099	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	11-21-1990	11-29-1990	7.287	0.924	1.832	4.536	0.690	0.0120	#N/A	#N/A	0.129	#N/A	#N/A	#N/A	#N/A	#N/A
	11-29-1990	12-6-1990	6.504	0.207	1.188	3.733	0.248	0.0128	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	12-6-1990	12-13-1990	8.431	0.146	1.441	4.708	0.256	0.0078	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	12-13-1990	12-20-1990	12.244	0.152	1.968	7.075	0.187	0.0068	#N/A	#N/A	-0.005	#N/A	#N/A	#N/A	#N/A	#N/A
	12-20-1990	12-27-1990	11.124	0.151	1.681	6.174	0.127	0.0071	#N/A	#N/A	0.051	#N/A	#N/A	#N/A	#N/A	#N/A
	12-27-1990	1-3-1991	7.392	0.684	1.678	4.384	0.574	0.0133	#N/A	#N/A	0.034	#N/A	#N/A	#N/A	#N/A	#N/A
	1-3-1991	1-10-1991	4.372	0.215	0.866	2.567	0.220	0.0100	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	1-10-1991	1-17-1991	7.388	0.243	1.327	4.239	0.260	0.0148	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A
	1-17-1991	1-24-1991	5.841	0.243	1.216	3.483	0.339	0.0123	#N/A	#N/A	0.011	#N/A	#N/A	#N/A	#N/A	#N/A
	1-24-1991	2-1-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-1-1991	2-7-1991	4.775	2.084	2.167	3.400	1.311	0.0255	#N/A	#N/A	0.400	#N/A	#N/A	#N/A	#N/A	#N/A
	2-7-1991	2-14-1991	9.088	0.386	1.979	5.219	0.665	0.0171	#N/A	#N/A	0.094	#N/A	#N/A	#N/A	#N/A	#N/A
	2-14-1991	2-21-1991	10.576	0.321	2.102	5.796	0.643	0.0126	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	2-21-1991	2-28-1991	7.338	1.247	1.735	4.294	0.654	0.0169	#N/A	#N/A	0.239	#N/A	#N/A	#N/A	#N/A	#N/A
	2-28-1991	3-7-1991	6.708	0.199	1.159	3.635	0.244	0.0092	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A
	3-7-1991	3-14-1991	14.829	0.214	2.627	8.365	0.521	0.0085	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A
	3-14-1991	3-21-1991	12.683	0.230	2.403	7.125	0.609	0.0142	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A
	3-21-1991	3-27-1991	8.323	0.327	2.227	5.160	0.928	0.0183	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	3-27-1991	4-4-1991	6.559	0.318	1.810	4.035	0.795	0.0199	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	4-4-1991	4-11-1991	7.466	0.253	1.628	4.433	0.513	0.0176	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	#N/A
	4-11-1991	4-18-1991	5.738	0.303	1.405	3.467	0.532	0.0189	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	4-18-1991	4-25-1991	4.862	0.284	1.314	3.023	0.553	0.0256	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	4-25-1991	5-2-1991	7.291	0.412	1.784	4.688	0.604	0.0262	#N/A	#N/A	0.009	#N/A	#N/A	#N/A	#N/A	#N/A
	5-2-1991	5-9-1991	5.263	0.571	1.734	3.394	0.879	0.0299	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A
	5-9-1991	5-16-1991	9.247	0.508	2.047	5.229	0.731	0.0282	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	5-16-1991	5-23-1991	4.223	0.923	1.636	2.836	0.922	0.0246	#N/A	#N/A	0.048	#N/A	#N/A	#N/A	#N/A	#N/A
	5-23-1991	5-30-1991	5.435	0.174	1.168	3.265	0.346	0.0237	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	5-30-1991	6-6-1991	5.387	0.158	1.103	3.144	0.311	0.0193	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	6-6-1991	6-13-1991	6.087	0.284	1.279	3.571	0.380	0.0228	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	6-13-1991	6-20-1991	3.928	0.254	0.965	2.422	0.356	0.0237	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	6-20-1991	6-27-1991	4.720	0.187	1.040	2.838	0.326	0.0222	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	6-27-1991	7-4-1991	3.482	0.125	0.759	2.055	0.242	0.0168	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	7-4-1991	7-11-1991	3.702	0.222	0.914	2.245	0.349	0.0265	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	7-11-1991	7-18-1991	5.974	0.260	1.343	3.607	0.435	0.0289	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	7-18-1991	7-25-1991	4.646	0.274	1.107	2.835	0.394	0.0181	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	7-25-1991	8-1-1991	7.241	0.394	1.456	4.286	0.377	0.0203	#N/A	#N/A	0.009	#N/A	#N/A	#N/A	#N/A	#N/A
	8-1-1991	8-8-1991	7.751	0.312	1.755	4.515	0.619	0.0209	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	8-8-1991	8-15-1991	5.274	0.182	1.129	3.108	0.347	0.0216	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	8-15-1991	8-22-1991	4.277	0.182	0.940	2.605	0.284	0.0215	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	8-22-1991	8-29-1991	7.229	0.179	1.460	4.233	0.395	0.0177	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	8-29-1991	9-5-1991	4.676	0.273	1.180	2.936	0.441	0.0275	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	9-5-1991	9-12-1991	5.658	0.223	1.211	3.440	0.346	0.0222	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	9-12-1991	9-19-1991	5.551	0.285	1.177	3.301	0.346	0.0237	#N/A	0.265	0.012	7.5	0.238	21.2	#N/A	#N/A
	9-19-1991	9-26-1991	6.094	0.379	2.128	3.712	1.194	0.0301	#N/A	0.295	0.109	5.0	0.392	23.6	#N/A	#N/A
	9-26-1991	10-3-1991	4.540	0.480	1.468	2.672	0.796	0.0257	#N/A	0.492	0.080	3.3	0.412	39.4	#N/A	#N/A
	10-3-1991	10-10-1991	4.659	0.596	1.311	2.787	0.610	0.0228	#N/A	0.516	0.112	3.7	0.327	41.3	#N/A	#N/A
	10-10-1991	10-17-1991	5.180	0.424	1.486	2.962	0.740	0.0226	#N/A	0.347	0.106	3.3	0.261	27.8	#N/A	#N/A
	10-17-1991	10-24-1991	4.525	0.392	1.381	2.565	0.736	0.0192	#N/A	0.314	0.080	3.1	#N/A	25.1	#N/A	#N/A
	10-24-1991	10-31-1991	5.034	0.571	1.437	3.205	0.630	0.0160	#N/A	0.182	0.122	3.5	0.539	14.5	#N/A	#N/A
	10-31-1991	11-7-1991	3.598	0.184	0.864	2.237	0.301	0.0141	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	11-7-1991	11-14-1991	8.669	0.366	2.150	5.571	0.747	0.0205	#N/A	#N/A	0.034	#N/A	#N/A	#N/A	#N/A	#N/A
	11-14-1991	11-21-1991	6.522	0.159	1.296	3.928	0.307	0.0114	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	11-21-1991	11-28-1991	7.220	0.190	1.353	4.341	0.260	0.0120	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	11-28-1991	12-5-1991	7.151	0.121	1.242	4.356	0.146	0.0076	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	12-5-1991	12-13-1991	10.086	0.175	1.790	5.773	0.337	0.0106	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	#N/A
	12-13-1991	12-19-1991	6.961	0.188	1.392	4.379	0.289	0.0110	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A
	12-19-1991	12-26-1991	11.099	0.189	1.832	6.619	0.166	0.0080	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	12-26-1991	1-2-1992	6.958	0.174	1.346	4.220	0.284	0.0061	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	1-2-1992	1-9-1992	6.942	0.586	1.751	4.426	0.637	0.0129	#N/A	#N/A	0.052	#N/A	#N/A	#N/A	#N/A	#N/A
	1-9-1992	1-16-1992	9.856	0.572	2.003	5.661	0.578	0.0126	#N/A	#N/A	0.214	#N/A	#N/A	#N/A	#N/A	#N/A
	1-16-1992	1-23-1992	4.778	0.445	1.124	2.952	0.381	0.0104	#N/A	#N/A	0.107	#N/A	#N/A	#N/A	#N/A	#N/A
	1-23-1992	1-30-1992	7.886	0.698	1.825	4.627	0.660	0.0184	#N/A	#N/A	0.153	#N/A	#N/A	#N/A	#N/A	#N/A
	1-30-1992	2-6-1992	11.196	0.280	1.920	6.510	0.282	0.0085	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	2-6-1992	2-13-1992	4.668	0.319	1.285	2.982	0.534	0.0157	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	2-13-1992	2-20-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-20-1992	2-27-1992	5.663	0.532	1.336	3.303	0.505	0.0194	#N/A	#N/A	0.124	#N/A	#N/A	#N/A	#N/A	#N/A
	2-27-1992	3-7-1992	4.331	0.425	1.117	2.708	0.436	0.0186	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	3-7-1992	3-12-1992	6.547	0.315	1.367	3.861	0.395	0.0164	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	3-12-1992	3-19-1992	6.504	0.276	1.467	3.873	0.492	0.0143	#N/A	#N/A	0.019	#N/A	#N/A	#N/A	#N/A	#N/A
	3-19-1992	3-26-1992	5.333	0.414	1.560	3.307	0.728	0.0179	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	3-26-1992	4-2-1992	3.908	0.286	0.992	2.338	0.403	0.0157	#N/A	#N/A	0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	4-2-1992	4-10-1992	5.157	0.960	1.536	3.335	0.696	0.0184	#N/A	#N/A	0.106	#N/A	#N/A	#N/A	#N/A	#N/A
	4-10-1992	4-16-1992	3.588	0.830	2.291	2.758	1.597	0.0325	#N/A	#N/A	0.096	#N/A	#N/A	#N/A	#N/A	#N/A
	4-16-1992	4-23-1992	4.343	0.534	1.430	2.712	0.748	0.0234	#N/A	#N/A	0.059	#N/A	#N/A	#N/A	#N/A	#N/A
	4-23-1992	4-30-1992	5.477	0.906	2.314	3.704	1.382	0.0298	#N/A	#N/A	0.060	#N/A	#N/A	#N/A	#N/A	#N/A
	4-30-1992	5-7-1992	5.714	0.734	2.219	3.882	1.242	0.0278	#N/A	#N/A	0.071	#N/A	#N/A	#N/A	#N/A	#N/A
	5-7-1992	5-16-1992	4.274	0.493	3.435	3.512	2.551	0.0292	#N/A	#N/A	0.095	#N/A	#N/A	#N/A	#N/A	#N/A
	5-16-1992	5-21-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-21-1992	5-28-1992	7.223	0.608	1.857	4.391	0.751	0.0382	#N/A	#N/A	0.007	#N/A	#N/A	#N/A	#N/A	#N/A
	5-28-1992	6-4-1992	4.263	0.449	1.359	2.876	0.635	0.0343	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	6-4-1992	6-11-1992	5.710	0.278	1.207	3.544	0.315	0.0241	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	6-11-1992	6-18-1992	8.289	0.159	1.465	4.826	0.251	0.0148	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	6-18-1992	6-25-1992	5.210	0.230	1.209	3.148	0.417	0.0219	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	6-25-1992	7-2-1992	4.334	0.230	1.055	2.697	0.377	0.0223	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	7-2-1992	7-9-1992	7.053	0.167	1.045	4.391	-0.061	0.0122	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	7-9-1992	7-16-1992	4.151	0.202	1.052	2.651	0.385	0.0199	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	7-16-1992	7-23-1992	6.059	0.187	1.227	3.759	0.281	0.0149	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	7-23-1992	7-30-1992	5.404	0.188	1.192	3.217	0.382	0.0156	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	7-30-1992	8-6-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-6-1992	8-13-1992	6.661	0.480	1.497	4.101	0.464	0.0189	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	8-13-1992	8-20-1992	6.725	0.261	1.455	4.068	0.431	0.0203	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	8-20-1992	8-27-1992	6.074	0.293	1.435	3.761	0.489	0.0246	#N/A	#N/A	-0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	8-27-1992	9-3-1992	5.459	0.257	1.357	3.501	0.476	0.0261	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	9-3-1992	9-13-1992	7.388	0.255	1.637	4.557	0.490	0.0209	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	#N/A
	9-13-1992	9-18-1992	6.138	0.249	1.433	3.868	0.460	0.0158	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	9-18-1992	9-24-1992	5.334	0.220	1.107	3.314	0.273	0.0158	#N/A	#N/A	0.006	#N/A	#N/A	#N/A	#N/A	#N/A
	9-24-1992	10-1-1992	6.370	0.228	1.297	3.842	0.330	0.0155	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	10-1-1992	10-9-1992	2.928	0.358	1.263	2.087	0.738	0.0227	#N/A	#N/A	0.010	#N/A	#N/A	#N/A	#N/A	#N/A
	10-9-1992	10-15-1992	8.669	0.471	2.616	5.598	1.207	0.0204	#N/A	#N/A	0.063	#N/A	#N/A	#N/A	#N/A	#N/A
	10-15-1992	10-22-1992	2.953	0.192	0.709	2.067	0.189	0.0171	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	10-22-1992	10-29-1992	5.747	0.185	1.124	3.453	0.255	0.0143	#N/A	#N/A	-0.005	#N/A	#N/A	#N/A	#N/A	#N/A
	10-29-1992	11-7-1992	5.313	0.242	1.141	3.382	0.290	0.0112	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	11-7-1992	11-12-1992	7.273	0.141	1.320	4.323	0.232	0.0104	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	11-12-1992	11-19-1992	5.609	0.300	1.356	3.605	0.448	0.0154	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	11-19-1992	11-26-1992	9.953	0.190	1.434	6.001	-0.077	0.0099	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	#N/A
	11-26-1992	12-3-1992	6.050	0.116	1.002	3.572	0.103	0.0059	#N/A	#N/A	-0.008	#N/A	#N/A	#N/A	#N/A	#N/A
	12-3-1992	12-10-1992	7.397	0.171	1.316	4.300	0.233	0.0115	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	12-10-1992	12-17-1992	9.489	0.285	1.959	5.691	0.527	0.0100	#N/A	#N/A	-0.009	#N/A	#N/A	#N/A	#N/A	#N/A
	12-17-1992	12-24-1992	6.088	0.127	1.055	3.560	0.159	0.0095	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	12-24-1992	12-31-1992	8.929	0.322	1.716	5.272	0.389	0.0094	#N/A	#N/A	0.012	#N/A	#N/A	#N/A	#N/A	#N/A
	12-31-1992	1-7-1993	0.999	0.035	0.150	0.577	0.005	0.0008	#N/A	#N/A	0.031	#N/A	#N/A	#N/A	#N/A	#N/A
	1-7-1993	1-14-1993	7.345	0.355	1.097	4.150	0.052	#N/A	#N/A	#N/A	0.054	#N/A	#N/A	#N/A	#N/A	#N/A
	1-14-1993	1-21-1993	5.050	0.192	1.060	2.999	0.305	0.0077	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	1-21-1993	1-28-1993	2.520	1.341	1.713	1.968	1.218	0.0201	#N/A	#N/A	0.421	#N/A	#N/A	#N/A	#N/A	#N/A
	1-28-1993	2-4-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-4-1993	2-11-1993	6.590	0.319	1.426	4.077	0.400	0.0139	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A
	2-11-1993	2-18-1993	4.083	0.582	1.232	2.787	0.531	0.0146	#N/A	#N/A	0.029	#N/A	#N/A	#N/A	#N/A	#N/A
	2-18-1993	2-25-1993	4.370	0.209	0.964	2.764	0.268	0.0213	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	2-25-1993	3-4-1993	7.428	0.365	1.560	4.265	0.486	0.0161	#N/A	#N/A	-0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	3-4-1993	3-11-1993	5.860	0.267	1.288	3.465	0.416	0.0123	#N/A	#N/A	0.015	#N/A	#N/A	#N/A	#N/A	#N/A
	3-11-1993	3-18-1993	4.511	0.547	2.102	3.022	1.341	0.0187	#N/A	#N/A	0.051	#N/A	#N/A	#N/A	#N/A	#N/A
	3-18-1993	3-25-1993	6.117	0.292	1.677	3.608	0.769	0.0215	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	3-25-1993	4-1-1993	6.677	0.391	1.478	3.820	0.516	0.0184	#N/A	#N/A	0.005	#N/A	#N/A	#N/A	#N/A	#N/A
	4-1-1993	4-8-1993	6.381	0.306	1.315	3.826	0.352	0.0174	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	4-8-1993	4-15-1993	6.397	0.407	1.463	3.774	0.513	0.0201	#N/A	#N/A	0.002	#N/A	#N/A	#N/A	#N/A	#N/A
	4-15-1993	4-22-1993	6.681	0.488	1.695	4.164	0.647	0.0223	#N/A	#N/A	0.008	#N/A	#N/A	#N/A	#N/A	#N/A
	4-22-1993	4-29-1993	6.164	0.383	1.452	3.718	0.516	0.0203	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	4-29-1993	5-6-1993	7.768	0.455	1.999	4.591	0.843	0.0237	#N/A	#N/A	0.001	#N/A	#N/A	#N/A	#N/A	#N/A
	5-6-1993	5-13-1993	6.691	0.318	1.390	3.916	0.404	0.0166	#N/A	#N/A	0.014	#N/A	#N/A	#N/A	#N/A	#N/A
	5-13-1993	5-20-1993	6.355	0.494	2.020	4.152	0.975	0.0301	#N/A	#N/A	0.064	#N/A	#N/A	#N/A	#N/A	#N/A
	5-20-1993	5-27-1993	3.534	0.453	1.383	2.377	0.785	0.0314	#N/A	#N/A	0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	5-27-1993	6-3-1993	2.977	0.313	1.064	1.959	0.571	0.0338	#N/A	#N/A	0.000	#N/A	#N/A	#N/A	#N/A	#N/A
	6-3-1993	6-10-1993	10.037	0.289	1.862	5.573	0.459	0.0245	#N/A	#N/A	-0.004	#N/A	#N/A	#N/A	#N/A	#N/A
	6-10-1993	6-17-1993	6.488	0.269	1.328	3.896	0.347	0.0236	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A
	6-17-1993	6-24-1993	16.073	0.356	2.436	10.701	-0.258	0.0311	#N/A	#N/A	-0.003	#N/A	#N/A	#N/A	#N/A	#N/A
