
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_SO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	8-5-1996	8-12-1996	2.254	0.133	0.556	1.668	5.424	0.136	#N/A	#N/A	#N/A	0.0632
	8-12-1996	8-19-1996	4.170	0.191	0.857	2.479	8.061	0.234	#N/A	#N/A	#N/A	0.0515
	8-19-1996	8-26-1996	3.774	0.074	0.611	2.232	7.259	0.049	#N/A	#N/A	#N/A	0.0425
	8-26-1996	9-2-1996	2.382	0.052	0.499	1.443	4.693	0.136	#N/A	#N/A	#N/A	0.0398
	9-2-1996	9-9-1996	0.710	0.026	0.170	0.512	1.666	0.041	#N/A	#N/A	#N/A	0.0219
	9-9-1996	9-16-1996	2.308	0.104	0.477	1.623	5.280	0.068	#N/A	#N/A	#N/A	0.0374
	9-16-1996	9-23-1996	1.992	0.192	0.559	1.408	4.580	0.204	#N/A	#N/A	#N/A	0.0678
	9-23-1996	9-30-1996	2.592	0.227	1.096	1.697	5.518	0.669	#N/A	#N/A	#N/A	0.0809
	9-30-1996	10-7-1996	1.848	0.106	0.532	1.411	4.588	0.176	#N/A	#N/A	#N/A	0.0570
	10-7-1996	10-14-1996	2.058	0.061	0.463	1.306	4.246	0.134	#N/A	#N/A	#N/A	0.0365
	10-14-1996	10-22-1996	2.004	0.068	0.499	1.259	4.095	0.182	#N/A	#N/A	#N/A	0.0460
	10-22-1996	10-28-1996	2.251	0.246	0.820	1.564	5.087	0.427	#N/A	#N/A	#N/A	0.1304
	10-28-1996	11-4-1996	1.911	0.087	0.874	1.356	4.410	0.532	#N/A	#N/A	#N/A	0.1408
	11-4-1996	11-11-1996	3.896	0.102	0.832	2.111	6.864	0.301	#N/A	#N/A	#N/A	0.0510
	11-11-1996	11-18-1996	4.980	0.062	0.952	2.722	8.851	0.267	#N/A	#N/A	#N/A	0.0220
