
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_SO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	1-16-1989	1-23-1989	2.349	0.042	0.670	1.360	4.424	0.328	#N/A	#N/A	#N/A	0.0632
	1-23-1989	1-30-1989	4.144	0.103	1.033	2.418	7.864	0.425	#N/A	#N/A	#N/A	0.0572
	1-30-1989	2-6-1989	4.053	0.088	0.965	2.300	7.481	0.386	#N/A	#N/A	#N/A	0.0705
	2-6-1989	2-13-1989	3.627	0.093	0.930	2.109	6.858	0.399	#N/A	#N/A	#N/A	0.0755
	2-13-1989	2-20-1989	3.252	0.089	1.110	1.899	6.176	0.632	#N/A	#N/A	#N/A	0.1519
	2-20-1989	2-27-1989	3.752	0.138	1.316	2.198	7.147	0.763	#N/A	#N/A	#N/A	0.1579
	2-27-1989	3-6-1989	1.817	0.071	0.995	1.353	4.401	0.655	#N/A	#N/A	#N/A	0.1300
	3-6-1989	3-13-1989	3.707	0.102	1.097	2.105	6.847	0.567	#N/A	#N/A	#N/A	0.1174
	3-13-1989	3-20-1989	4.147	0.207	1.020	2.362	7.682	0.425	#N/A	#N/A	#N/A	0.0610
	3-20-1989	3-27-1989	4.633	0.088	1.022	2.615	8.504	0.364	#N/A	#N/A	#N/A	0.0658
	3-27-1989	4-3-1989	2.901	0.104	0.761	1.661	5.403	0.343	#N/A	#N/A	#N/A	0.0683
	4-3-1989	4-10-1989	2.800	0.096	0.733	1.627	5.293	0.324	#N/A	#N/A	#N/A	0.0719
	4-10-1989	4-17-1989	2.761	0.091	0.935	1.610	5.236	0.529	#N/A	#N/A	#N/A	0.0916
	4-17-1989	4-24-1989	5.228	0.115	0.984	2.976	9.679	0.235	#N/A	#N/A	#N/A	0.0248
	4-24-1989	5-1-1989	2.686	0.054	0.587	1.559	5.070	0.195	#N/A	#N/A	#N/A	0.0317
	5-1-1989	5-8-1989	3.263	0.088	0.831	1.903	6.190	0.352	#N/A	#N/A	#N/A	0.0656
	5-8-1989	5-15-1989	4.598	0.080	0.883	2.859	9.298	0.163	#N/A	#N/A	#N/A	0.0246
	5-15-1989	5-22-1989	1.979	0.077	0.657	1.217	3.958	0.350	#N/A	#N/A	#N/A	0.0886
	5-22-1989	5-29-1989	5.564	0.086	1.131	3.234	10.517	0.317	#N/A	#N/A	#N/A	0.0419
	5-29-1989	6-5-1989	14.829	0.167	2.595	8.792	28.592	0.382	#N/A	#N/A	#N/A	0.0377
	6-5-1989	6-13-1989	2.377	0.033	0.655	1.496	4.865	0.279	#N/A	#N/A	#N/A	0.0424
	6-13-1989	6-19-1989	2.019	0.036	0.674	1.349	4.388	0.334	#N/A	#N/A	#N/A	0.0261
	6-19-1989	6-26-1989	5.557	0.102	1.225	3.211	10.442	0.417	#N/A	#N/A	#N/A	0.0814
	6-26-1989	7-3-1989	3.236	0.081	1.075	1.950	6.342	0.584	#N/A	#N/A	#N/A	0.1157
	7-3-1989	7-10-1989	7.517	0.214	1.579	4.402	14.315	0.471	#N/A	#N/A	#N/A	0.0879
	7-10-1989	7-17-1989	6.186	0.106	1.376	3.633	11.816	0.462	#N/A	#N/A	#N/A	0.0740
	7-17-1989	7-24-1989	2.958	0.078	1.038	1.736	5.644	0.601	#N/A	#N/A	#N/A	0.1702
	7-24-1989	7-31-1989	2.980	0.021	0.773	1.661	5.401	0.355	#N/A	#N/A	#N/A	0.0685
	7-31-1989	8-7-1989	2.678	0.059	0.888	1.553	5.050	0.497	#N/A	#N/A	#N/A	0.1394
	8-7-1989	8-14-1989	1.979	0.066	0.750	1.519	4.940	0.367	#N/A	#N/A	#N/A	0.0913
	8-14-1989	8-21-1989	3.749	0.081	0.804	2.231	7.255	0.243	#N/A	#N/A	#N/A	0.0438
