
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	6-3-1982	6-10-1982	5.239	0.392	1.704	3.312	10.772	0.870	#N/A	#N/A	0.171	#N/A	2.70	0.100	13.7	#N/A	#N/A
	6-10-1982	6-17-1982	2.914	0.442	1.312	1.946	6.328	0.822	#N/A	#N/A	0.264	#N/A	1.40	0.099	21.1	#N/A	#N/A
	6-17-1982	6-24-1982	2.170	0.368	1.044	1.517	4.934	0.662	#N/A	#N/A	0.460	#N/A	1.70	0.094	36.8	#N/A	#N/A
	6-24-1982	7-1-1982	7.390	0.223	1.411	4.278	13.911	0.334	#N/A	#N/A	0.104	#N/A	4.00	#N/A	8.3	#N/A	#N/A
	7-1-1982	7-8-1982	10.361	0.139	1.792	5.653	18.385	0.369	#N/A	#N/A	0.117	#N/A	7.30	0.180	9.4	#N/A	#N/A
	7-8-1982	7-15-1982	7.376	0.112	1.362	4.060	13.202	0.340	#N/A	#N/A	0.025	#N/A	4.40	#N/A	2.0	#N/A	#N/A
	7-15-1982	7-22-1982	9.766	0.222	1.842	5.419	17.624	0.478	#N/A	#N/A	0.064	#N/A	5.80	#N/A	5.1	#N/A	#N/A
	7-22-1982	7-29-1982	3.522	0.241	1.015	2.155	7.007	0.473	#N/A	#N/A	0.081	#N/A	1.80	#N/A	6.5	#N/A	#N/A
	7-29-1982	8-5-1982	6.874	0.169	1.269	3.757	12.217	0.324	#N/A	#N/A	0.041	#N/A	4.10	#N/A	3.3	#N/A	#N/A
	8-5-1982	8-13-1982	14.418	0.207	2.194	7.971	25.922	0.187	#N/A	#N/A	0.100	#N/A	3.70	#N/A	8.0	#N/A	#N/A
	8-13-1982	8-19-1982	8.485	0.194	1.412	4.676	15.206	0.235	#N/A	#N/A	0.056	#N/A	5.30	0.103	4.5	#N/A	#N/A
	8-19-1982	8-26-1982	3.559	0.177	0.892	2.098	6.821	0.364	#N/A	#N/A	0.140	#N/A	1.90	#N/A	11.2	#N/A	#N/A
	8-26-1982	9-2-1982	8.594	0.155	1.774	4.707	15.306	0.589	#N/A	#N/A	0.212	#N/A	4.30	#N/A	17.0	#N/A	#N/A
