
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_NH4	_AL	_BR	_CA	_CL	_CU	_L	_MG	_MN	_NA	_V	_AG	_BA	_CO	_CR	_CS	_EU	_FE	_HF	_ND	_NI	_RB	_SB	_SC	_SE	_TA	_TB	YB	ZN
	10-15-1991	10-16-1991	36.281	1.580	6.902	20.279	1.798	0.0044	#N/A	0.519	0.193	9.62E-02	5.61E-01	3.72E+01	#N/A	#N/A	2.32E+00	#N/A	2.14E+01	1.09E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-16-1991	10-17-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-17-1991	10-18-1991	6.866	3.180	3.828	2.810	3.120	#N/A	#N/A	2.756	1.920	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	4.29E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-18-1991	10-19-1991	10.137	4.227	5.214	4.783	4.010	#N/A	#N/A	3.173	2.900	7.03E-02	1.96E+00	1.22E+01	#N/A	#N/A	1.11E+00	4.04E-02	6.50E+00	5.45E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-19-1991	10-20-1991	10.891	1.976	5.664	4.400	4.557	#N/A	#N/A	3.423	2.540	#N/A	1.09E+00	#N/A	#N/A	#N/A	#N/A	3.10E-02	#N/A	5.66E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-20-1991	10-21-1991	3.933	2.468	3.769	2.030	3.258	0.0062	#N/A	1.557	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.39E-03	2.20E-04	3.12E-05	5.56E-01	4.51E-05	#N/A	#N/A	1.31E-03	2.42E-03	1.84E-04	6.75E-04	#N/A	#N/A	#N/A	1.56E-02
	10-21-1991	10-22-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-22-1991	10-23-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7.38E-05	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-23-1991	10-24-1991	19.670	4.542	8.906	12.612	5.732	0.0032	#N/A	1.844	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7.76E-03	2.73E-04	3.19E-03	2.04E-04	2.73E-05	8.28E-01	7.40E-05	5.12E-04	3.47E-03	2.66E-03	1.48E-03	2.31E-04	1.61E-03	1.64E-05	6.00E-06	3.37E-05	2.98E-02
	10-24-1991	10-25-1991	21.879	6.446	9.181	12.394	6.061	0.0094	#N/A	1.825	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6.04E-03	2.44E-04	4.19E-05	7.35E-01	7.37E-05	#N/A	4.83E-03	2.32E-03	2.91E-03	1.90E-04	1.66E-03	#N/A	#N/A	4.98E-05	2.97E-02
	10-25-1991	10-26-1991	107.515	10.313	29.948	63.508	13.963	0.0147	#N/A	2.023	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	3.96E-02	8.97E-04	9.43E-03	1.24E-03	1.01E-04	2.96E+00	3.40E-04	1.93E-03	#N/A	1.47E-02	3.78E-03	1.07E-03	6.43E-03	6.75E-05	4.54E-05	2.26E-04	8.76E-02
	10-26-1991	10-27-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-27-1991	10-28-1991	74.551	16.014	32.643	39.487	22.704	#N/A	#N/A	12.943	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-28-1991	10-29-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-29-1991	10-30-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-30-1991	10-31-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-31-1991	11-1-1991	35.362	3.422	10.600	18.886	5.846	#N/A	#N/A	2.219	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-1-1991	4-20-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-20-1992	4-28-1992	6.770	3.790	5.391	4.083	4.363	0.0657	#N/A	0.510	6.109	1.68E-02	2.72E+00	6.56E+00	#N/A	6.41E-03	2.17E+00	1.02E-01	4.53E+00	1.08E-02	#N/A	4.05E-03	1.74E-04	5.93E-04	7.76E-05	7.04E-06	2.30E-01	3.10E-05	#N/A	#N/A	9.44E-04	2.29E-03	7.75E-05	3.12E-04	6.43E-06	3.96E-06	1.74E-05	9.33E-03
	4-28-1992	5-2-1992	4.084	2.918	7.271	2.562	6.626	0.0512	#N/A	2.062	2.059	2.89E-01	#N/A	1.16E+02	#N/A	#N/A	5.91E+00	1.55E+00	#N/A	6.99E+00	#N/A	6.35E-02	1.68E-03	7.41E-03	7.97E-04	1.27E-04	3.23E+00	3.46E-04	#N/A	#N/A	9.92E-03	1.08E-02	1.11E-03	9.50E-04	1.14E-04	5.77E-05	2.20E-04	5.73E-02
	5-2-1992	5-7-1992	5.106	3.454	4.464	2.581	3.815	0.0391	#N/A	0.416	3.772	3.00E-02	3.20E+00	8.41E+00	#N/A	6.31E-03	1.31E+00	5.58E-02	5.60E+00	6.67E-03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-7-1992	5-12-1992	10.540	3.731	7.017	7.377	5.160	0.0400	#N/A	1.890	0.700	2.42E-02	6.36E-01	8.95E+00	#N/A	2.07E-03	7.73E-01	2.00E-02	5.34E+00	1.99E-03	#N/A	9.86E-03	4.19E-04	2.21E-03	1.61E-04	2.10E-05	5.66E-01	6.07E-05	#N/A	1.73E-03	1.83E-03	4.54E-03	1.57E-04	1.21E-03	1.96E-05	#N/A	3.92E-05	2.36E-02
