
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	1-19-1990	1-26-1990	2.398	0.676	1.297	1.676	5.452	0.875	#N/A	#N/A	#N/A	0.1648
	1-26-1990	2-2-1990	2.700	0.640	1.542	1.788	5.814	1.092	#N/A	#N/A	#N/A	0.1817
	2-2-1990	2-9-1990	2.091	0.560	1.400	1.429	4.646	1.040	#N/A	#N/A	#N/A	0.2108
	2-9-1990	2-16-1990	1.469	0.709	1.196	1.299	4.224	0.869	#N/A	#N/A	#N/A	0.2042
	2-16-1990	2-23-1990	3.336	0.768	1.855	2.156	7.011	1.312	#N/A	#N/A	#N/A	0.2783
	2-23-1990	3-2-1990	5.784	0.354	1.507	3.317	10.788	0.672	#N/A	#N/A	#N/A	0.0920
	3-3-1990	3-9-1990	2.877	0.696	1.150	1.838	5.977	0.687	#N/A	#N/A	#N/A	0.1297
	3-9-1990	3-16-1990	2.451	0.305	0.770	1.414	4.598	0.415	#N/A	#N/A	#N/A	0.0806
	3-16-1990	3-23-1990	5.128	0.438	1.424	2.976	9.679	0.675	#N/A	#N/A	#N/A	0.0875
	3-23-1990	3-30-1990	6.295	0.435	1.496	3.652	11.877	0.577	#N/A	#N/A	#N/A	0.0605
	3-30-1990	4-6-1990	9.546	0.293	1.709	5.400	17.562	0.350	#N/A	#N/A	#N/A	0.0301
	4-6-1990	4-12-1990	2.718	0.483	0.899	1.683	5.475	0.476	#N/A	#N/A	#N/A	0.0609
	4-12-1990	4-20-1990	5.297	0.284	1.170	3.018	9.814	0.410	#N/A	#N/A	#N/A	0.0530
	4-20-1990	4-27-1990	4.646	0.296	1.105	2.634	8.565	0.442	#N/A	#N/A	#N/A	0.0548
	4-27-1990	5-4-1990	7.672	0.317	1.485	4.256	13.841	0.414	#N/A	#N/A	#N/A	0.0544
	5-4-1990	5-11-1990	5.749	0.372	1.296	3.270	10.635	0.473	#N/A	#N/A	#N/A	0.0404
	5-11-1990	5-18-1990	4.479	0.209	0.864	2.519	8.190	0.230	#N/A	#N/A	#N/A	0.0212
	5-18-1990	5-25-1990	5.346	0.189	0.959	2.948	9.586	0.217	#N/A	#N/A	#N/A	0.0219
	5-25-1990	6-1-1990	5.800	0.410	1.112	3.206	10.427	0.304	#N/A	#N/A	#N/A	0.0427
	6-1-1990	6-8-1990	6.240	0.221	1.153	3.420	11.123	0.292	#N/A	#N/A	#N/A	0.0272
	6-8-1990	6-15-1990	3.194	0.224	1.154	1.797	5.844	0.702	#N/A	#N/A	#N/A	0.1522
