
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	1-1-1989	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!
	2-1-1989	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!
	12-1-1990	31	9.162 	4.474 	8.451 	4.223 	13.214 	31	1.050 	1.023 	0.767 	0.272 	1.722 	31	2.803 	1.480 	2.693 	1.428 	4.135 	31	5.538 	2.517 	5.390 	3.144 	7.943 	31	1.409 	1.214 	0.826 	0.322 	2.548 	30	0.0077 	0.0040 	0.0073 	0.0047 	0.0124 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	31	0.1590 	0.1500 	0.1034 	0.0413 	0.2971 
	1-1-1991	28	7.410 	5.107 	7.198 	2.014 	10.438 	28	0.898 	0.979 	0.528 	0.305 	1.311 	28	2.558 	1.591 	2.424 	0.779 	4.381 	28	4.479 	2.929 	4.459 	1.277 	6.308 	26	1.492 	1.384 	0.718 	0.342 	2.914 	26	0.0182 	0.0129 	0.0195 	0.0046 	0.0275 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.1532 	0.1212 	0.1416 	0.0503 	0.2552 
	2-1-1991	30	9.529 	5.437 	7.930 	3.914 	15.278 	30	0.847 	0.539 	0.801 	0.294 	1.480 	30	2.988 	1.473 	2.569 	1.622 	5.078 	30	5.622 	2.949 	4.928 	2.442 	8.854 	30	1.573 	1.013 	1.448 	0.573 	2.754 	29	0.0150 	0.0123 	0.0130 	0.0033 	0.0265 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	30	0.1862 	0.1205 	0.1541 	0.0690 	0.3071 
	3-1-1991	28	11.012 	7.449 	9.162 	4.927 	15.289 	28	1.189 	0.800 	1.050 	0.451 	1.666 	28	4.126 	1.943 	3.776 	2.215 	6.797 	28	6.789 	4.343 	5.550 	3.353 	9.193 	28	2.417 	1.781 	2.251 	0.574 	3.754 	22	0.0248 	0.0194 	0.0170 	0.0097 	0.0462 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	28	0.3832 	0.3266 	0.2579 	0.1203 	0.7001 
	4-1-1991	20	4.871 	3.032 	3.844 	2.459 	8.540 	20	1.322 	1.072 	0.909 	0.572 	2.269 	20	4.069 	2.916 	2.982 	1.639 	6.614 	20	3.227 	1.653 	2.767 	1.617 	4.998 	20	3.256 	2.998 	1.802 	1.045 	5.762 	16	0.0523 	0.0197 	0.0469 	0.0347 	0.0765 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	20	0.4795 	0.4879 	0.3125 	0.1436 	0.7006 
	5-1-1991	19	3.406 	1.881 	3.262 	1.931 	5.122 	19	1.618 	0.856 	1.310 	1.070 	2.382 	19	3.997 	3.843 	2.703 	1.904 	3.746 	19	2.485 	1.193 	2.278 	1.440 	4.052 	19	3.371 	3.725 	2.083 	1.473 	3.433 	15	0.0847 	0.0522 	0.0849 	0.0357 	0.1164 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	19	0.5463 	0.6262 	0.3450 	0.2216 	0.5443 
	6-1-1991	22	5.495 	3.834 	5.037 	1.580 	9.205 	22	0.962 	0.676 	0.686 	0.475 	1.229 	22	2.919 	2.004 	2.548 	1.538 	4.002 	22	3.493 	2.124 	3.278 	1.239 	5.344 	22	2.040 	1.958 	1.410 	0.966 	2.489 	19	0.0745 	0.0281 	0.0733 	0.0537 	0.0849 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	22	0.3263 	0.4212 	0.1765 	0.0886 	0.5347 
	7-1-1991	25	4.161 	2.066 	3.763 	2.313 	6.657 	25	0.744 	0.254 	0.659 	0.532 	1.014 	25	2.357 	1.477 	1.768 	1.422 	3.039 	23	2.296 	0.983 	2.221 	1.386 	3.060 	23	1.789 	1.459 	1.256 	1.092 	2.349 	25	0.0581 	0.0210 	0.0568 	0.0381 	0.0739 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	23	0.1818 	0.1768 	0.1344 	0.0900 	0.2304 
	8-1-1991	30	3.465 	2.346 	2.847 	1.351 	6.413 	30	0.852 	0.531 	0.784 	0.447 	1.122 	30	2.885 	1.824 	2.143 	1.314 	4.954 	30	2.287 	1.361 	1.886 	1.073 	3.983 	30	2.309 	1.821 	1.485 	0.813 	4.512 	28	0.0504 	0.0157 	0.0535 	0.0368 	0.0619 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	30	0.3143 	0.2779 	0.2187 	0.0487 	0.5726 
	9-1-1991	27	7.956 	8.093 	5.285 	2.235 	11.584 	27	0.603 	0.486 	0.426 	0.234 	0.778 	27	2.336 	1.897 	1.644 	1.141 	3.570 	27	4.602 	4.915 	3.094 	1.623 	6.549 	23	1.168 	1.277 	0.746 	0.405 	1.679 	22	0.0269 	0.0067 	0.0280 	0.0222 	0.0324 	0	#DIV/0!	#DIV/0!	#NUM!	#NUM!	#NUM!	27	0.2289 	0.1674 	0.1522 	0.0795 	0.3680 
