
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	8-28-1991	9-4-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-4-1991	9-11-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-11-1991	9-18-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-18-1991	9-25-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-25-1991	10-2-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-2-1991	10-10-1991	5.232	0.038	1.218	2.888	9.392	0.491	0.0093	#N/A	#N/A	0.0611
	10-10-1991	10-16-1991	5.425	0.007	1.805	2.988	9.716	1.053	0.0171	#N/A	#N/A	0.1715
	10-16-1991	10-23-1991	8.508	0.024	2.229	5.600	18.212	0.820	0.0247	#N/A	#N/A	0.2457
	10-23-1991	10-30-1991	7.843	0.027	2.059	4.545	14.780	0.915	0.0312	#N/A	#N/A	0.2125
	10-30-1991	11-6-1991	9.069	0.022	1.834	5.040	16.391	0.565	0.0259	#N/A	#N/A	0.0670
	11-6-1991	11-13-1991	7.095	0.011	1.407	3.972	12.916	0.408	0.0256	#N/A	#N/A	0.0433
	11-13-1991	11-20-1991	7.022	0.027	1.735	3.913	12.724	0.750	0.0326	#N/A	#N/A	0.0876
	11-20-1991	11-27-1991	3.285	0.017	1.022	1.908	6.205	0.541	0.0265	#N/A	#N/A	0.1860
	11-27-1991	12-4-1991	1.974	0.019	0.629	1.282	4.169	0.306	0.0284	#N/A	#N/A	0.1012
	12-4-1991	12-11-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-11-1991	12-18-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-1-1992	1-8-1992	5.598	0.037	1.326	3.240	10.536	0.511	0.0918	#N/A	#N/A	0.1813
	1-8-1992	1-15-1992	5.618	0.026	1.596	3.377	10.983	0.746	0.0900	#N/A	#N/A	0.3342
	1-15-1992	1-22-1992	5.419	0.030	1.403	3.422	11.129	0.542	0.2223	#N/A	#N/A	0.1864
	1-22-1992	1-29-1992	3.971	0.020	1.075	2.244	7.297	0.510	0.0616	#N/A	#N/A	0.2289
	1-29-1992	2-5-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-5-1992	2-12-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-12-1992	2-19-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-19-1992	2-26-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-26-1992	3-4-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-4-1992	3-11-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-11-1992	3-18-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-18-1992	3-25-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-25-1992	4-1-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-1-1992	4-8-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-8-1992	4-15-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-15-1992	4-22-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-22-1992	4-29-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-29-1992	5-6-1992	2.323	0.021	0.446	1.287	4.186	0.122	0.0228	#N/A	#N/A	0.0476
	5-6-1992	5-13-1992	6.161	0.027	1.291	3.725	12.115	0.353	0.0196	#N/A	#N/A	0.1388
	5-13-1992	5-20-1992	2.526	0.028	0.520	1.427	4.641	0.161	0.0178	#N/A	#N/A	0.0220
	5-20-1992	5-27-1992	3.357	0.016	0.553	2.099	6.825	0.025	0.0168	#N/A	#N/A	0.0183
	5-27-1992	6-3-1992	6.601	0.043	0.467	3.476	11.305	-0.408	0.0170	#N/A	#N/A	0.0377
	6-3-1992	6-10-1992	2.472	0.040	0.858	1.444	4.697	0.495	0.0157	#N/A	#N/A	0.1066
	6-10-1992	6-17-1992	0.861	0.007	0.192	0.587	1.908	0.044	0.0099	#N/A	#N/A	0.0248
	6-17-1992	6-24-1992	3.129	0.025	0.552	1.852	6.023	0.086	0.0146	#N/A	#N/A	0.0912
	6-24-1992	7-1-1992	4.676	0.034	0.777	2.572	8.364	0.129	0.0132	#N/A	#N/A	0.0684
	7-1-1992	7-8-1992	1.761	0.023	0.259	1.123	3.652	-0.024	0.0117	#N/A	#N/A	0.0186
	7-8-1992	7-15-1992	5.035	0.051	0.486	2.837	9.225	-0.228	0.0125	#N/A	#N/A	0.0437
	7-15-1992	7-22-1992	3.721	0.022	1.570	2.209	7.183	1.014	0.0158	#N/A	#N/A	0.0927
	7-22-1992	7-29-1992	3.452	0.015	0.910	1.980	6.438	0.411	0.0054	#N/A	#N/A	0.0257
	7-29-1992	8-5-1992	1.335	0.017	0.518	0.862	2.805	0.301	0.0143	#N/A	#N/A	0.0898
	8-5-1992	8-12-1992	0.510	0.010	0.318	0.368	1.197	0.226	0.0131	#N/A	#N/A	0.0409
	8-12-1992	8-19-1992	3.404	0.018	0.824	1.575	5.123	0.427	#N/A	#N/A	#N/A	0.0297
	8-19-1992	8-26-1992	2.543	0.026	0.400	2.004	6.517	-0.104	#N/A	#N/A	#N/A	0.0237
	8-26-1992	9-2-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	9-2-1992	9-9-1992	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
