
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	3-11-1993	3-18-1993	2.927	0.213	0.812	1.937	6.299	0.325	#N/A	#N/A	#N/A	0.0883
	3-18-1993	3-25-1993	6.059	0.077	1.054	3.524	11.461	0.167	#N/A	#N/A	#N/A	0.0475
	3-25-1993	4-1-1993	6.194	0.229	1.134	3.599	11.704	0.228	#N/A	#N/A	#N/A	0.0706
	4-1-1993	4-8-1993	3.867	0.097	0.767	2.331	7.581	0.180	#N/A	#N/A	#N/A	0.0387
	4-8-1993	4-15-1993	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-15-1993	4-22-1993	12.010	0.115	1.756	6.765	22.001	0.053	#N/A	#N/A	#N/A	0.0401
	4-22-1993	4-29-1993	6.588	0.117	1.152	3.809	12.385	0.193	#N/A	#N/A	#N/A	0.0659
	4-29-1993	5-6-1993	3.513	0.209	0.941	2.101	6.831	0.413	#N/A	#N/A	#N/A	0.0767
	5-6-1993	5-13-1993	2.855	0.224	0.814	1.681	5.466	0.391	#N/A	#N/A	#N/A	0.0753
	5-13-1993	5-20-1993	3.004	0.378	1.219	1.901	6.183	0.741	#N/A	#N/A	#N/A	0.1993
	5-20-1993	5-27-1993	3.776	0.353	1.012	2.284	7.429	0.437	#N/A	#N/A	#N/A	0.0915
	5-27-1993	6-3-1993	4.848	0.222	1.123	2.837	9.226	0.409	#N/A	#N/A	#N/A	0.0798
	6-3-1993	6-10-1993	4.356	0.240	1.013	2.670	8.683	0.341	#N/A	#N/A	#N/A	0.0732
	6-10-1993	6-17-1993	7.556	0.060	1.228	3.943	12.823	0.235	#N/A	#N/A	#N/A	0.0335
	6-17-1993	6-24-1993	4.079	0.185	1.016	2.448	7.962	0.400	#N/A	#N/A	#N/A	0.0770
	6-24-1993	7-1-1993	7.204	0.076	1.297	4.186	13.613	0.243	#N/A	#N/A	#N/A	0.0484
	7-1-1993	7-8-1993	5.507	0.055	0.918	3.050	9.918	0.150	#N/A	#N/A	#N/A	0.0257
	7-8-1993	7-15-1993	5.498	0.068	1.038	3.147	10.233	0.246	#N/A	#N/A	#N/A	0.0333
	7-15-1993	7-22-1993	5.922	0.065	1.114	3.304	10.746	0.283	#N/A	#N/A	#N/A	0.0446
	7-22-1993	7-29-1993	3.757	0.075	0.855	2.120	6.894	0.322	#N/A	#N/A	#N/A	0.0549
	7-29-1993	8-5-1993	6.558	0.111	1.247	3.771	12.264	0.298	#N/A	#N/A	#N/A	0.0558
	8-5-1993	8-12-1993	4.332	0.260	1.056	2.584	8.405	0.406	#N/A	#N/A	#N/A	0.0862
